,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,874.6,880.45,868.0,874.35,874.35,169753,0.0,1.0
1,2022-11-07,878.45,878.45,861.0,872.9,872.9,167157,0.0,1.0
2,2022-11-04,869.0,872.6,862.45,867.25,867.25,363789,0.0,1.0
3,2022-11-03,854.1,880.45,854.1,863.95,863.95,185233,0.0,1.0
4,2022-11-02,873.35,876.0,861.65,863.2,863.2,262632,0.0,1.0
5,2022-11-01,903.0,903.35,869.0,871.75,871.75,42816882,0.0,1.0
6,2022-10-31,907.35,917.8,902.35,905.85,905.85,98782,0.0,1.0
7,2022-10-28,911.15,917.95,898.8,903.0,903.0,364128,0.0,1.0
8,2022-10-27,906.45,919.95,901.4,915.25,915.25,190797,0.0,1.0
9,2022-10-25,905.8,910.7,891.75,902.9,902.9,259832,0.0,1.0
10,2022-10-24,919.2,919.2,905.15,909.1,909.1,131503,0.0,1.0
11,2022-10-21,860.0,905.0,855.7,900.25,900.25,1964470,0.0,1.0
12,2022-10-20,828.9,831.85,816.85,826.2,826.2,136510,0.0,1.0
13,2022-10-19,819.9,838.0,817.15,829.65,829.65,240257,0.0,1.0
14,2022-10-18,819.05,822.85,811.5,815.9,815.9,235208,0.0,1.0
15,2022-10-17,805.7,817.0,796.9,814.35,814.35,198116,0.0,1.0
16,2022-10-14,813.1,820.5,794.25,800.35,800.35,215572,0.0,1.0
17,2022-10-13,807.0,814.7,795.6,802.25,802.25,202599,0.0,1.0
18,2022-10-12,788.0,810.4,783.55,808.4,808.4,540673,0.0,1.0
19,2022-10-11,781.0,795.3,774.55,785.7,785.7,3114337,0.0,1.0
20,2022-10-10,747.3,778.8,745.0,776.75,776.75,404220,0.0,1.0
21,2022-10-07,755.8,759.1,742.65,755.9,755.9,102894,0.0,1.0
22,2022-10-06,748.6,760.3,746.5,755.2,755.2,305302,0.0,1.0
23,2022-10-04,732.5,744.5,732.5,742.95,742.95,102681,0.0,1.0
24,2022-10-03,730.15,741.75,720.8,722.95,722.95,182367,0.0,1.0
25,2022-09-30,719.0,737.45,714.45,733.5,733.5,145289,0.0,1.0
26,2022-09-29,734.75,734.75,710.85,718.65,718.65,157895,0.0,1.0
27,2022-09-28,736.45,736.45,706.0,716.35,716.35,17006886,0.0,1.0
28,2022-09-27,744.0,753.8,731.0,737.3,737.3,169279,0.0,1.0
