,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,3771.05,3793.6001,3722.0,3737.8501,3737.8501,26014,0.0,1.0
1,2022-11-07,3780.55,3817.55,3761.55,3769.75,3769.75,4235,0.0,1.0
2,2022-11-04,3773.5,3809.8999,3764.8999,3771.05,3771.05,3627,0.0,1.0
3,2022-11-03,3768.3999,3815.8,3727.7,3772.95,3772.95,43876,0.0,1.0
4,2022-11-02,3721.1001,3740.0,3694.6499,3736.75,3736.75,2847,0.0,1.0
5,2022-11-01,3671.05,3744.3501,3663.2,3732.45,3732.45,8654,0.0,1.0
6,2022-10-31,3660.3501,3705.1499,3659.0,3669.25,3669.25,36633,0.0,1.0
7,2022-10-28,3615.05,3718.0,3615.05,3668.5,3668.5,28256,0.0,1.0
8,2022-10-27,3663.5,3686.8999,3607.1499,3627.6499,3627.6499,5811,0.0,1.0
9,2022-10-25,3673.7,3725.05,3644.5,3653.7,3653.7,83499,0.0,1.0
10,2022-10-24,3700.0,3718.25,3685.0,3700.0,3700.0,2044,0.0,1.0
11,2022-10-21,3681.0,3716.6499,3641.8501,3669.2,3669.2,6053,0.0,1.0
12,2022-10-20,3630.0,3701.5,3588.3999,3695.8501,3695.8501,4223,0.0,1.0
13,2022-10-19,3647.05,3715.0,3622.8501,3654.5,3654.5,16261,0.0,1.0
14,2022-10-18,3657.95,3663.1001,3603.5,3610.1001,3610.1001,17241,0.0,1.0
15,2022-10-17,3571.0,3674.8501,3571.0,3626.2,3626.2,123752,0.0,1.0
16,2022-10-14,3653.1001,3663.3999,3554.0,3569.0,3569.0,7633,0.0,1.0
17,2022-10-13,3603.1499,3646.8999,3590.0,3605.25,3605.25,11100,0.0,1.0
18,2022-10-12,3531.3501,3651.6001,3521.0,3624.2,3624.2,11155,0.0,1.0
19,2022-10-11,3637.0,3637.0,3521.95,3527.8999,3527.8999,97467,0.0,1.0
20,2022-10-10,3578.95,3624.5,3530.0,3619.3999,3619.3999,8787,0.0,1.0
21,2022-10-07,3560.05,3665.8,3560.05,3601.75,3601.75,23533,0.0,1.0
22,2022-10-06,3581.3999,3616.8501,3570.0,3594.8999,3594.8999,28539,0.0,1.0
23,2022-10-04,3531.3501,3599.75,3531.3501,3584.3,3584.3,6754,0.0,1.0
24,2022-10-03,3539.95,3556.0,3475.0,3522.25,3522.25,23744,0.0,1.0
25,2022-09-30,3495.0,3551.0,3462.05,3527.1001,3527.1001,3498,0.0,1.0
26,2022-09-29,3561.75,3561.75,3465.3,3476.3501,3476.3501,6018,0.0,1.0
27,2022-09-28,3538.95,3574.1001,3503.0,3543.8501,3543.8501,2458,0.0,1.0
28,2022-09-27,3598.0,3598.0,3512.0,3539.8999,3539.8999,8208,0.0,1.0
29,2022-09-26,3693.95,3693.95,3566.05,3573.25,3573.25,7822,0.0,1.0
30,2022-09-23,3730.5,3765.8501,3685.0,3698.3,3698.3,3859,0.0,1.0
31,2022-09-22,3732.3,3761.75,3701.0,3727.8501,3727.8501,5702,0.0,1.0
32,2022-09-21,3751.05,3805.0,3721.5,3731.8,3731.8,8074,0.0,1.0
33,2022-09-20,3712.0,3805.0,3712.0,3769.05,3769.05,5508,0.0,1.0
34,2022-09-19,3694.7,3730.0,3660.2,3707.6499,3707.6499,118157,0.0,1.0
35,2022-09-16,3818.8,3818.8,3677.1499,3694.7,3694.7,17482,0.0,1.0
36,2022-09-15,3850.05,3881.95,3752.05,3770.3999,3770.3999,5179,0.0,1.0
37,2022-09-14,3810.0,3917.1499,3810.0,3850.05,3850.05,26256,0.0,1.0
38,2022-09-13,3868.8,3889.3501,3855.55,3865.6499,3865.6499,30377,0.0,1.0
39,2022-09-12,3830.1499,3890.5,3826.8501,3870.45,3870.45,18203,0.0,1.0
40,2022-09-09,3848.0,3880.45,3835.0,3849.95,3849.95,61806,0.0,1.0
41,2022-09-08,3853.0,3877.7,3840.05,3845.0,3845.0,23737,0.0,1.0
42,2022-09-07,3920.0,3936.95,3814.1499,3847.05,3847.05,54436,0.0,1.0
43,2022-09-06,3979.0,3988.8501,3921.3999,3930.25,3930.25,28532,0.0,1.0
44,2022-09-05,4032.1499,4048.05,3947.3,3956.7,3956.7,83422,0.0,1.0
45,2022-09-02,4074.0,4101.6001,4026.2,4031.8,4031.8,26496,0.0,1.0
46,2022-09-01,4000.0,4130.1499,4000.0,4074.95,4074.95,12833,0.0,1.0
47,2022-08-30,4032.3,4128.7002,4032.3,4085.1001,4085.1001,15671,0.0,1.0
48,2022-08-29,4000.05,4062.95,4000.0,4032.3,4032.3,38618,0.0,1.0
49,2022-08-26,4076.45,4121.0498,4045.0,4052.55,4052.55,22583,0.0,1.0
50,2022-08-25,4041.05,4094.8,4041.05,4061.7,4061.7,43143,0.0,1.0
51,2022-08-24,4062.3999,4078.6001,4055.0,4065.95,4065.95,19212,0.0,1.0
52,2022-08-23,4049.8999,4073.8501,4020.55,4057.1499,4057.1499,15383,0.0,1.0
53,2022-08-22,4066.2,4071.6001,4011.0,4041.55,4041.55,54942,0.0,1.0
54,2022-08-19,4069.8,4086.5,4051.5,4071.6001,4071.6001,13191,0.0,1.0
55,2022-08-18,4080.0,4080.0,4045.0,4057.6001,4057.6001,37328,0.0,1.0
56,2022-08-17,4089.0,4119.3999,4060.8501,4066.8999,4066.8999,13714,0.0,1.0
57,2022-08-16,4038.0,4099.7002,4036.3,4092.1499,4092.1499,5557,0.0,1.0
58,2022-08-12,4005.05,4057.3,4005.05,4036.3,4036.3,5602,0.0,1.0
59,2022-08-11,4050.0,4054.75,4023.0,4030.0,4030.0,11545,0.0,1.0
60,2022-08-10,4028.0,4066.3999,4017.55,4034.45,4034.45,5892,0.0,1.0
61,2022-08-08,4010.0,4039.75,4006.0,4021.3999,4021.3999,16916,0.0,1.0
62,2022-08-05,4016.0,4037.05,4000.0,4014.95,4014.95,91146,0.0,1.0
63,2022-08-04,4032.95,4035.0,3978.25,4013.6499,4013.6499,65188,0.0,1.0
64,2022-08-03,4043.8999,4043.8999,3965.0,4001.8,4001.8,59606,0.0,1.0
65,2022-08-02,3985.7,4004.3999,3943.55,3994.7,3994.7,44882,0.0,1.0
66,2022-08-01,3915.0,3989.1499,3915.0,3975.45,3975.45,126973,0.0,1.0
67,2022-07-29,3883.0,3951.5,3876.3501,3913.3999,3913.3999,19338,0.0,1.0
68,2022-07-28,3896.7,3912.25,3850.0,3860.1499,3860.1499,10128,0.0,1.0
69,2022-07-27,3979.0,3979.0,3845.3501,3878.2,3878.2,9665,0.0,1.0
70,2022-07-26,4010.0,4028.95,3908.8,3925.2,3925.2,19063,0.0,1.0
71,2022-07-25,4041.05,4071.7,3998.8501,4017.5,4017.5,14553,0.0,1.0
72,2022-07-22,4068.0,4091.8999,4047.0,4054.8,4054.8,55850,0.0,1.0
73,2022-07-21,4000.0,4068.0,4000.0,4057.45,4057.45,24487,0.0,1.0
74,2022-07-20,4007.0,4053.6499,4000.0,4001.6499,4001.6499,49366,0.0,1.0
75,2022-07-19,3986.0,4034.0,3966.3501,4002.25,4002.25,34433,0.0,1.0
76,2022-07-18,3920.6499,3991.0,3920.6499,3985.2,3985.2,137837,0.0,1.0
77,2022-07-15,3860.0,3920.6499,3860.0,3913.05,3913.05,8028,0.0,1.0
78,2022-07-14,3857.0,3880.0,3842.55,3860.3,3860.3,31120,0.0,1.0
79,2022-07-13,3860.0,3874.3999,3847.6499,3858.3501,3858.3501,21693,0.0,1.0
80,2022-07-12,3849.0,3860.8501,3830.45,3848.75,3848.75,18509,0.0,1.0
81,2022-07-11,3810.3,3855.6001,3800.0,3849.95,3849.95,21181,0.0,1.0
82,2022-07-08,3835.0,3835.0,3792.0,3824.3999,3824.3999,21538,0.0,1.0
83,2022-07-07,3799.0,3835.0,3785.0,3802.25,3802.25,28128,0.0,1.0
84,2022-07-06,3689.95,3778.7,3678.6499,3772.3999,3772.3999,28772,0.0,1.0
85,2022-07-05,3713.7,3713.7,3666.3,3684.05,3684.05,28332,0.0,1.0
86,2022-07-04,3650.0,3690.0,3608.5,3680.6001,3680.6001,36934,0.0,1.0
87,2022-07-01,3700.0,3700.0,3601.2,3623.55,3623.55,15922,0.0,1.0
88,2022-06-30,3747.0,3765.2,3693.5,3705.6499,3705.6499,8834,140.0,1.0
89,2022-06-29,3880.0,3901.6001,3859.3999,3867.05,3727.05,14697,0.0,1.0
90,2022-06-28,3843.05,3906.25,3784.3,3887.3,3746.5669,25910,0.0,1.0
91,2022-06-27,3870.0,3953.5,3818.7,3862.05,3722.231,40374,0.0,1.0
92,2022-06-24,3800.0,3841.55,3783.4,3812.8,3674.764,38145,0.0,1.0
93,2022-06-23,3690.0,3795.65,3669.9,3782.9,3645.9465,18761,0.0,1.0
94,2022-06-22,3650.0,3719.95,3615.0,3629.8,3498.3892,24895,0.0,1.0
95,2022-06-21,3630.0,3670.95,3618.0,3643.95,3512.027,33666,0.0,1.0
96,2022-06-20,3639.0,3639.0,3577.0,3616.15,3485.2334,10437,0.0,1.0
97,2022-06-17,3694.65,3710.85,3620.0,3632.65,3501.1361,14299,0.0,1.0
98,2022-06-16,3749.0,3749.0,3634.0,3654.9,3522.5805,8714,0.0,1.0
99,2022-06-15,3684.4,3742.5,3645.85,3696.05,3562.2408,23226,0.0,1.0
100,2022-06-14,3890.0,4000.0,3603.75,3684.4,3551.0125,54268,0.0,1.0
101,2022-06-13,3850.0,3894.6,3775.0,3880.6,3740.1094,15724,0.0,1.0
102,2022-06-10,3960.0,3965.75,3850.85,3885.25,3744.5911,26048,0.0,1.0
103,2022-06-09,3814.0,3890.5,3784.6,3876.9,3736.5434,12335,0.0,1.0
104,2022-06-08,3845.0,3848.05,3768.05,3792.95,3655.6327,8048,0.0,1.0
