,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,1777.45,1797.9,1745.2,1753.5,1753.5,59487,0.0,1.0
1,2022-11-07,1810.0,1813.45,1765.2,1777.45,1777.45,245220,0.0,1.0
2,2022-11-04,1720.0,1807.75,1720.0,1801.7,1801.7,307148,0.0,1.0
3,2022-11-03,1695.0,1732.0,1692.5,1723.25,1723.25,1297799,0.0,1.0
4,2022-11-02,1708.6,1722.0,1699.4,1711.1,1711.1,39951,0.0,1.0
5,2022-11-01,1696.85,1714.5,1691.3,1708.6,1708.6,217030,0.0,1.0
6,2022-10-31,1663.0,1689.6,1661.2,1687.75,1687.75,51472,0.0,1.0
7,2022-10-28,1635.1,1660.0,1635.1,1653.3,1653.3,188062,0.0,1.0
8,2022-10-27,1665.3,1674.0,1620.7,1631.2,1631.2,127786,0.0,1.0
9,2022-10-25,1692.95,1700.0,1655.0,1659.05,1659.05,259096,0.0,1.0
10,2022-10-24,1714.8,1724.6,1695.65,1702.55,1702.55,23214,0.0,1.0
11,2022-10-21,1732.0,1740.0,1675.25,1684.0,1684.0,130518,0.0,1.0
12,2022-10-20,1685.0,1729.55,1676.55,1725.25,1725.25,93010,0.0,1.0
13,2022-10-19,1725.0,1731.15,1692.8,1698.9,1698.9,43614,0.0,1.0
14,2022-10-18,1725.0,1736.4,1708.75,1725.85,1725.85,70357,0.0,1.0
15,2022-10-17,1680.0,1724.1,1674.35,1718.8,1718.8,354072,0.0,1.0
16,2022-10-14,1702.0,1711.0,1685.1,1688.45,1688.45,41229,0.0,1.0
17,2022-10-13,1695.0,1695.0,1667.25,1681.35,1681.35,28436,0.0,1.0
18,2022-10-12,1679.0,1701.0,1668.0,1694.4,1694.4,111661,0.0,1.0
19,2022-10-11,1681.6,1707.0,1665.9,1673.5,1673.5,295409,0.0,1.0
20,2022-10-10,1663.05,1693.1,1657.55,1684.1,1684.1,93685,0.0,1.0
21,2022-10-07,1709.45,1709.45,1684.6,1699.3,1699.3,41262,0.0,1.0
22,2022-10-06,1714.0,1723.25,1695.0,1710.05,1710.05,113246,0.0,1.0
23,2022-10-04,1677.0,1705.0,1672.2,1701.5,1701.5,59161,0.0,1.0
24,2022-10-03,1681.5,1685.95,1638.0,1646.05,1646.05,134382,0.0,1.0
25,2022-09-30,1622.5,1698.75,1620.95,1678.6,1678.6,90795,0.0,1.0
26,2022-09-29,1669.0,1688.65,1625.1,1635.6,1635.6,78175,0.0,1.0
27,2022-09-28,1673.4,1679.05,1645.0,1651.05,1651.05,147461,0.0,1.0
28,2022-09-27,1690.0,1715.0,1665.0,1679.65,1679.65,185455,0.0,1.0
29,2022-09-26,1695.0,1739.2,1661.55,1677.45,1677.45,402117,0.0,1.0
30,2022-09-23,1770.0,1778.85,1714.95,1722.25,1722.25,109717,0.0,1.0
31,2022-09-22,1789.0,1789.0,1733.5,1771.85,1771.85,166910,0.0,1.0
32,2022-09-21,1798.0,1820.0,1779.0,1801.95,1801.95,107440,0.0,1.0
33,2022-09-20,1784.0,1813.0,1766.15,1802.8,1802.8,214050,0.0,1.0
34,2022-09-19,1734.0,1779.0,1733.45,1766.15,1766.15,137008,0.0,1.0
35,2022-09-16,1773.0,1785.0,1712.7,1735.1,1735.1,165637,0.0,1.0
36,2022-09-15,1815.55,1825.0,1770.0,1772.0,1772.0,232924,0.0,1.0
37,2022-09-14,1780.0,1814.0,1752.15,1806.1,1806.1,288104,0.0,1.0
38,2022-09-13,1757.0,1846.0,1750.15,1784.45,1784.45,578234,0.0,10.0
39,2022-09-12,1737.4,1742.0649,1706.0,1715.78,1715.78,187750,0.0,1.0
40,2022-09-09,17525.0002,17579.8002,17149.9502,17202.6502,1720.265,161530,0.0,1.0
41,2022-09-08,17300.0002,17486.5502,17050.0002,17381.4502,1738.145,671570,0.0,1.0
42,2022-09-07,16980.0002,17146.0502,16800.0002,17056.4502,1705.645,403040,0.0,1.0
43,2022-09-06,17470.0002,17480.0002,16935.0502,16974.3002,1697.43,196490,0.0,1.0
44,2022-09-05,17390.0002,17535.6502,17210.0002,17375.6502,1737.565,194500,0.0,1.0
45,2022-09-02,17655.0002,17837.1002,17251.0002,17331.1502,1733.115,234470,0.0,1.0
46,2022-09-01,16849.0002,17688.3502,16800.0002,17404.0002,1740.4,556700,0.0,1.0
47,2022-08-30,16383.0002,16999.0002,16383.0002,16966.7002,1696.67,454100,0.0,1.0
48,2022-08-29,15000.0002,16180.9502,15000.0002,16086.7502,1608.675,195820,0.0,1.0
49,2022-08-26,16434.9502,16505.2502,16255.1502,16287.5502,1628.755,145810,0.0,1.0
50,2022-08-25,16498.9502,16595.0002,16208.0002,16246.4502,1624.645,118890,0.0,1.0
51,2022-08-24,16290.0002,16423.5502,16177.7502,16328.1502,1632.815,129980,0.0,1.0
52,2022-08-23,15756.0002,16527.9502,15702.8502,16309.2502,1630.925,352160,0.0,1.0
53,2022-08-22,16266.0002,16284.7002,15805.7502,15872.6502,1587.265,340270,0.0,1.0
54,2022-08-19,16900.0002,16948.0002,16126.0502,16292.8502,1629.285,375280,0.0,1.0
55,2022-08-18,16895.0002,17006.8502,16628.6002,16810.7502,1681.075,148550,0.0,1.0
56,2022-08-17,15926.0002,17145.3502,15926.0002,16828.5502,1682.855,380700,0.0,1.0
57,2022-08-16,15800.0002,15970.0002,15800.0002,15914.3002,1591.43,119520,0.0,1.0
58,2022-08-12,15735.0002,15885.0002,15680.0002,15770.3502,1577.035,93820,0.0,1.0
59,2022-08-11,15948.0002,15948.0002,15699.5502,15729.3002,1572.93,181630,0.0,1.0
60,2022-08-10,15534.2002,15665.9502,15425.4502,15643.2502,1564.325,198350,0.0,1.0
61,2022-08-08,15088.9502,15590.0002,15040.0002,15534.2002,1553.42,253300,0.0,1.0
62,2022-08-05,15178.9002,15260.8502,15045.0502,15088.9502,1508.895,70740,0.0,1.0
63,2022-08-04,15300.0002,15404.4502,15060.5002,15178.9002,1517.89,125320,0.0,1.0
64,2022-08-03,15215.7502,15342.6002,15118.0002,15243.6502,1524.365,97600,0.0,1.0
65,2022-08-02,15022.0002,15288.0002,14860.3001,15215.7502,1521.575,144360,0.0,1.0
66,2022-08-01,15224.0002,15247.8002,14938.0001,15072.3002,1507.23,698580,0.0,1.0
67,2022-07-29,15081.3002,15199.0002,14810.2501,15039.3002,1503.93,525340,0.0,1.0
68,2022-07-28,13500.0001,14777.8501,13500.0001,14652.3001,1465.23,509960,0.0,1.0
69,2022-07-27,13370.0001,13382.5001,13023.3001,13303.1501,1330.315,266530,0.0,1.0
70,2022-07-26,13051.0001,13547.1001,12797.6001,13314.7501,1331.475,500320,0.0,1.0
71,2022-07-25,12798.0001,12798.0001,12570.0501,12610.6501,1261.065,63010,0.0,1.0
72,2022-07-22,12914.2001,12914.2001,12664.1501,12741.0501,1274.105,114570,0.0,1.0
73,2022-07-21,12400.0001,12756.0001,12390.0001,12718.2501,1271.825,73630,0.0,1.0
74,2022-07-20,12650.0001,12650.0001,12376.5501,12417.3001,1241.73,131050,0.0,1.0
75,2022-07-19,12200.0001,12468.2001,12107.6501,12445.3001,1244.53,104160,0.0,1.0
76,2022-07-18,11899.0001,12280.0001,11899.0001,12246.6501,1224.665,640250,0.0,1.0
