,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,821.1,825.6,814.45,817.65,817.65,156361,0.0,1.0
1,2022-11-07,814.8,824.0,809.05,822.75,822.75,323549,0.0,1.0
2,2022-11-04,813.05,821.05,809.35,816.4,816.4,114407,0.0,1.0
3,2022-11-03,805.55,824.05,804.5,818.4,818.4,179968,0.0,1.0
4,2022-11-02,830.0,830.0,807.45,809.9,809.9,401871,0.0,1.0
5,2022-11-01,834.5,841.3,821.5,835.35,835.35,444358,0.0,1.0
6,2022-10-31,820.55,833.7,820.2,832.0,832.0,76737,0.0,1.0
7,2022-10-28,820.0,824.2,811.5,816.8,816.8,63091,0.0,1.0
8,2022-10-27,804.0,822.5,804.0,816.9,816.9,275824,0.0,1.0
9,2022-10-25,806.05,806.4,798.7,802.25,802.25,77608,0.0,1.0
10,2022-10-24,797.6,807.65,797.6,802.3,802.3,17289,0.0,1.0
11,2022-10-21,791.8,802.5,789.65,797.4,797.4,110038,0.0,1.0
12,2022-10-20,781.05,793.8,778.85,792.95,792.95,69182,0.0,1.0
13,2022-10-19,788.0,788.05,779.4,783.35,783.35,79966,0.0,1.0
14,2022-10-18,770.0,785.25,769.25,783.25,783.25,90489,0.0,1.0
15,2022-10-17,758.55,771.0,758.55,766.0,766.0,2936089,0.0,1.0
16,2022-10-14,777.35,779.65,763.2,766.15,766.15,173194,0.0,1.0
17,2022-10-13,775.4,778.7,767.95,768.8,768.8,161121,0.0,1.0
18,2022-10-12,778.95,781.1,769.2,775.4,775.4,167188,0.0,1.0
19,2022-10-11,796.0,796.7,776.1,780.05,780.05,2885053,0.0,1.0
20,2022-10-10,787.3,794.75,779.6,792.25,792.25,178289,0.0,1.0
21,2022-10-07,791.0,796.5,784.85,793.4,793.4,270612,0.0,1.0
22,2022-10-06,805.25,815.75,785.25,788.2,788.2,154114,0.0,1.0
23,2022-10-04,816.75,816.75,807.1,808.7,808.7,139265,0.0,1.0
24,2022-10-03,808.5,815.35,797.2,803.45,803.45,232929,0.0,1.0
25,2022-09-30,762.55,808.85,761.5,799.75,799.75,262490,0.0,1.0
26,2022-09-29,761.2,768.65,759.55,765.4,765.4,354151,0.0,1.0
27,2022-09-28,755.0,771.0,755.0,761.4,761.4,270799,0.0,1.0
28,2022-09-27,754.0,764.7,754.0,760.6,760.6,193907,0.0,1.0
29,2022-09-26,767.05,771.35,753.5,755.2,755.2,896784,0.0,1.0
30,2022-09-23,787.2,787.3,768.6,770.95,770.95,150233,0.0,1.0
31,2022-09-22,783.35,795.0,776.4,784.2,784.2,168402,0.0,1.0
32,2022-09-21,792.5,797.0,779.25,780.4,780.4,85092,0.0,1.0
33,2022-09-20,783.6,796.6,783.6,790.55,790.55,72943,0.0,1.0
34,2022-09-19,774.9,786.15,772.3,782.6,782.6,2042903,0.0,1.0
35,2022-09-16,784.85,787.3,776.25,780.0,780.0,85809,0.0,1.0
36,2022-09-15,786.2,790.3,782.0,784.8,784.8,151477,0.0,1.0
37,2022-09-14,768.0,788.4,768.0,783.45,783.45,216299,0.0,1.0
38,2022-09-13,773.0,789.0,770.1,784.6,784.6,419712,0.0,1.0
39,2022-09-12,767.2,771.2,765.05,768.9,768.9,191829,0.0,1.0
40,2022-09-09,776.0,776.0,763.55,765.55,765.55,379713,0.0,1.0
41,2022-09-08,760.5,776.0,757.1,770.2,770.2,539738,0.0,1.0
42,2022-09-07,756.5,759.7,736.1,753.05,753.05,875712,0.0,1.0
43,2022-09-06,740.0,792.05,740.0,761.3,761.3,643788,0.0,1.0
44,2022-09-05,735.0,742.0,733.6,740.65,740.65,200659,0.0,1.0
45,2022-09-02,725.15,740.6,720.05,734.65,734.65,436448,0.0,1.0
46,2022-09-01,723.1,745.9,723.1,735.05,735.05,1975791,0.0,1.0
47,2022-08-30,720.9,729.7,712.0,726.5,726.5,292063,0.0,1.0
48,2022-08-29,710.0,724.95,710.0,720.9,720.9,145567,0.0,1.0
49,2022-08-26,743.0,743.0,727.9,730.55,730.55,104140,0.0,1.0
50,2022-08-25,743.5,768.0,731.6,738.05,738.05,753933,0.0,1.0
51,2022-08-24,728.0,792.65,721.1,738.9,738.9,1103388,0.0,1.0
52,2022-08-23,719.15,742.65,719.15,737.6,737.6,94659,0.0,1.0
53,2022-08-22,729.0,733.85,724.65,727.5,727.5,285668,0.0,1.0
54,2022-08-19,733.25,737.65,726.05,732.35,732.35,300170,0.0,1.0
55,2022-08-18,725.0,735.7,721.0,733.25,733.25,201667,0.0,1.0
56,2022-08-17,706.0,725.0,702.8,721.75,721.75,296418,0.0,1.0
57,2022-08-16,711.0,715.7,700.7,703.8,703.8,183506,0.0,1.0
58,2022-08-12,709.55,712.2,706.65,709.85,709.85,170762,0.0,1.0
59,2022-08-11,723.4,723.4,705.85,709.55,709.55,461575,0.0,1.0
60,2022-08-10,719.0,719.0,706.0,714.95,714.95,330344,0.0,1.0
61,2022-08-08,707.0,709.75,699.1,704.35,704.35,259526,0.0,1.0
62,2022-08-05,700.0,710.0,697.2,703.6,703.6,118358,0.0,1.0
63,2022-08-04,699.0,699.0,681.0,693.95,693.95,211393,0.0,1.0
64,2022-08-03,688.8,696.65,687.0,692.95,692.95,115279,0.0,1.0
65,2022-08-02,699.0,699.45,681.4,686.6,686.6,111350,0.0,1.0
66,2022-08-01,679.0,697.3,677.85,694.2,694.2,3071366,3.0,1.0
67,2022-07-29,673.0,680.5,671.0,677.9,674.9,135806,0.0,1.0
68,2022-07-28,681.0,681.0,664.25,666.8,663.8491,486945,0.0,1.0
69,2022-07-27,684.0,684.0,669.75,674.8,671.8137,163654,0.0,1.0
70,2022-07-26,681.0,685.1,670.1,683.8,680.7739,65233,0.0,1.0
71,2022-07-25,678.5,686.55,676.65,678.15,675.1489,55109,0.0,1.0
72,2022-07-22,682.5,682.5,675.15,678.5,675.4973,67432,0.0,1.0
73,2022-07-21,669.65,679.25,669.65,678.6,675.5969,42016,0.0,1.0
74,2022-07-20,677.0,678.0,668.05,670.25,667.2839,419695,0.0,1.0
75,2022-07-19,673.35,675.8,663.4,672.95,669.9719,392866,0.0,1.0
76,2022-07-18,660.8,669.0,649.35,663.5,660.5637,3086280,0.0,1.0
77,2022-07-15,648.2,657.5,643.5,651.65,648.7662,511567,0.0,1.0
78,2022-07-14,648.2,652.1,629.05,642.0,639.1589,194456,0.0,1.0
79,2022-07-13,685.2,685.2,641.3,643.45,640.6025,191204,0.0,1.0
80,2022-07-12,663.0,666.95,660.1,662.45,659.5184,246101,0.0,1.0
81,2022-07-11,676.8,680.6,659.05,660.3,657.3779,362839,0.0,1.0
82,2022-07-08,686.15,696.5,686.15,695.25,692.1732,169887,0.0,1.0
83,2022-07-07,694.95,696.55,685.55,686.65,683.6113,102775,0.0,1.0
