,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,310.15,311.65,306.05,306.8,306.8,137119,0.0,1.0
1,2022-11-07,301.35,310.0,301.35,309.6,309.6,323604,0.0,1.0
2,2022-11-04,305.0,305.35,298.8,301.6,301.6,331098,0.0,1.0
3,2022-11-03,304.65,307.75,303.35,305.1,305.1,56549,0.0,1.0
4,2022-11-02,304.0,305.85,303.55,305.15,305.15,231472,0.0,1.0
5,2022-11-01,304.0,305.6,302.35,304.25,304.25,78699,0.0,1.0
6,2022-10-31,304.0,305.75,301.4,303.6,303.6,62405,0.0,1.0
7,2022-10-28,305.55,308.3,302.15,303.25,303.25,191034,0.0,1.0
8,2022-10-27,303.3,306.5,302.6,305.6,305.6,292770,0.0,1.0
9,2022-10-25,300.85,305.0,297.3,302.6,302.6,890089,0.0,1.0
10,2022-10-24,300.85,301.85,299.8,300.75,300.75,28785,0.0,1.0
11,2022-10-21,298.6,300.6,297.3,298.25,298.25,180309,0.0,1.0
12,2022-10-20,292.2,299.15,288.2,297.3,297.3,295412,0.0,1.0
13,2022-10-19,296.1,298.9,291.65,292.2,292.2,184299,0.0,1.0
14,2022-10-18,297.05,298.3,294.1,295.8,295.8,75211,0.0,1.0
15,2022-10-17,298.75,299.15,291.65,296.85,296.85,247675,0.0,1.0
16,2022-10-14,303.0,304.95,297.15,297.95,297.95,87572,0.0,1.0
17,2022-10-13,304.95,305.05,299.55,300.2,300.2,100473,0.0,1.0
18,2022-10-12,300.15,309.1,299.35,302.45,302.45,382642,0.0,1.0
19,2022-10-11,305.05,306.15,299.25,299.9,299.9,1205551,0.0,1.0
20,2022-10-10,306.0,306.5,302.15,304.6,304.6,124577,0.0,1.0
21,2022-10-07,311.0,311.0,306.25,307.4,307.4,199920,0.0,1.0
22,2022-10-06,314.65,314.8,309.55,312.0,312.0,176492,0.0,1.0
23,2022-10-04,311.0,314.1,310.4,311.45,311.45,151869,0.0,1.0
24,2022-10-03,307.0,311.1,304.9,308.9,308.9,660360,0.0,1.0
25,2022-09-30,304.0,308.8,301.05,304.9,304.9,276472,0.0,1.0
26,2022-09-29,307.0,308.7,302.55,303.2,303.2,714601,0.0,1.0
27,2022-09-28,310.95,310.95,305.0,306.2,306.2,203210,0.0,1.0
28,2022-09-27,306.05,311.9,305.5,310.65,310.65,180106,0.0,1.0
29,2022-09-26,310.1,315.8,303.05,305.0,305.0,494075,0.0,1.0
30,2022-09-23,315.0,316.7,311.0,311.95,311.95,183378,0.0,1.0
31,2022-09-22,320.05,320.05,313.3,315.95,315.95,83872,0.0,1.0
32,2022-09-21,325.85,325.85,318.5,319.7,319.7,53391,0.0,1.0
33,2022-09-20,321.5,326.95,321.5,322.8,322.8,154501,0.0,1.0
34,2022-09-19,321.25,324.45,319.2,321.15,321.15,947085,0.0,1.0
35,2022-09-16,330.5,331.5,320.2,321.25,321.25,382502,0.0,1.0
36,2022-09-15,338.95,338.95,330.5,331.5,331.5,166284,0.0,1.0
37,2022-09-14,338.0,340.6,335.55,336.2,336.2,102026,0.0,1.0
38,2022-09-13,342.0,345.5,340.05,340.85,340.85,258358,0.0,1.0
39,2022-09-12,338.6,344.45,338.2,342.8,342.8,690798,0.0,1.0
40,2022-09-09,340.3,341.55,336.0,338.6,338.6,630193,0.0,1.0
41,2022-09-08,330.2,340.65,329.9,339.85,339.85,970083,0.0,1.0
42,2022-09-07,322.1,327.9,322.1,327.2,327.2,501976,0.0,1.0
43,2022-09-06,326.35,326.4,321.1,324.65,324.65,350409,0.0,1.0
44,2022-09-05,322.05,325.0,321.25,324.7,324.7,310284,0.0,1.0
45,2022-09-02,331.4,333.9,320.6,322.05,322.05,791901,0.0,1.0
46,2022-09-01,326.9,333.0,324.35,331.4,331.4,72623,0.0,1.0
47,2022-08-30,326.5,330.0,326.5,328.55,328.55,68715,0.0,1.0
48,2022-08-29,322.05,327.7,322.05,326.15,326.15,172284,0.0,1.0
49,2022-08-26,332.95,333.2,328.5,329.15,329.15,121641,0.0,1.0
50,2022-08-25,329.6,334.9,329.0,329.95,329.95,186437,0.0,1.0
51,2022-08-24,334.0,334.0,328.1,329.55,329.55,100275,0.0,1.0
52,2022-08-23,330.3,334.9,330.3,333.6,333.6,77195,0.0,1.0
53,2022-08-22,335.7,337.3,332.0,333.6,333.6,208995,0.0,1.0
54,2022-08-19,342.0,343.3,337.0,338.35,338.35,236281,6.0,1.0
55,2022-08-18,353.15,353.7,345.55,347.1,341.1,66887,0.0,1.0
56,2022-08-17,346.8,355.0,346.8,353.05,346.9471,413702,0.0,1.0
57,2022-08-16,334.4,346.95,333.1,345.9,339.9207,406334,0.0,1.0
58,2022-08-12,331.8,334.4,328.0,333.9,328.1282,74108,0.0,1.0
59,2022-08-11,328.5,331.5,327.3,328.25,322.5758,113851,0.0,1.0
60,2022-08-10,327.1,330.1,326.15,328.35,322.6741,75210,0.0,1.0
61,2022-08-08,328.9,329.3,320.3,325.75,320.1191,256494,0.0,1.0
62,2022-08-05,333.25,337.0,332.25,336.3,330.4867,196074,0.0,1.0
63,2022-08-04,334.3,337.6,329.7,333.95,328.1773,208417,0.0,1.0
64,2022-08-03,334.25,337.2,330.45,334.0,328.2264,54914,0.0,1.0
65,2022-08-02,334.5,341.3,332.4,335.0,329.2092,256331,0.0,1.0
66,2022-08-01,328.7,335.0,327.95,334.25,328.4721,1387986,0.0,1.0
67,2022-07-29,327.9,331.15,325.25,330.4,324.6887,115686,0.0,1.0
68,2022-07-28,320.3,328.85,320.3,326.0,320.3647,283357,0.0,1.0
69,2022-07-27,316.5,325.05,316.5,324.6,318.9889,335114,0.0,1.0
70,2022-07-26,318.95,319.1,314.3,318.55,313.0435,457003,0.0,1.0
71,2022-07-25,320.4,320.7,315.5,317.3,311.8151,135877,0.0,1.0
