,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-15,540.0,540.15,530.25,533.05,533.05,119466,0.0,1.0
1,2022-11-14,542.7,545.0,536.5,538.75,538.75,53888,0.0,1.0
2,2022-11-11,533.2,552.95,532.65,542.6,542.6,264854,0.0,1.0
3,2022-11-10,533.0,534.65,527.0,528.25,528.25,74920,0.0,1.0
4,2022-11-09,539.95,539.95,531.0,531.75,531.75,104000,0.0,1.0
5,2022-11-07,539.2,543.2,534.8,536.25,536.25,47216,0.0,1.0
6,2022-11-04,544.0,546.0,536.55,539.2,539.2,51050,0.0,1.0
7,2022-11-03,539.2,548.35,531.75,545.3,545.3,65286,0.0,1.0
8,2022-11-02,544.5,548.2,540.5,542.5,542.5,34049,0.0,1.0
9,2022-11-01,541.3,550.9,540.8,544.5,544.5,92640,0.0,1.0
10,2022-10-31,533.9,541.25,531.8,540.35,540.35,97330,0.0,1.0
11,2022-10-28,531.9,536.45,528.35,530.1,530.1,57944,0.0,1.0
12,2022-10-27,533.4,537.0,529.65,533.0,533.0,97126,0.0,1.0
13,2022-10-25,546.65,546.65,531.55,533.45,533.45,780488,0.0,1.0
14,2022-10-24,548.85,548.85,540.2,541.6,541.6,15828,0.0,1.0
15,2022-10-21,537.6,548.15,536.6,541.75,541.75,90259,0.0,1.0
16,2022-10-20,531.9,538.0,527.45,537.05,537.05,53862,0.0,1.0
17,2022-10-19,531.25,535.25,529.35,530.95,530.95,71171,0.0,1.0
18,2022-10-18,526.0,532.45,523.8,531.25,531.25,444172,0.0,1.0
19,2022-10-17,523.0,526.0,518.9,523.6,523.6,1152355,0.0,1.0
20,2022-10-14,530.25,533.45,522.0,522.9,522.9,81073,0.0,1.0
21,2022-10-13,527.0,527.0,518.05,520.65,520.65,53451,0.0,1.0
22,2022-10-12,522.0,528.45,520.5,526.15,526.15,41734,0.0,1.0
23,2022-10-11,533.0,534.7,521.5,522.45,522.45,1124887,0.0,1.0
24,2022-10-10,524.05,534.3,520.15,532.65,532.65,80414,0.0,1.0
25,2022-10-07,529.6,533.4,526.1,527.15,527.15,52254,0.0,1.0
26,2022-10-06,534.0,539.0,528.9,529.6,529.6,47783,0.0,1.0
27,2022-10-04,523.0,532.95,522.75,531.75,531.75,60494,0.0,1.0
28,2022-10-03,530.1,530.85,518.0,518.8,518.8,65129,0.0,1.0
29,2022-09-30,528.05,532.4,521.55,530.05,530.05,55097,0.0,1.0
30,2022-09-29,519.0,529.85,517.3,527.65,527.65,150068,0.0,1.0
31,2022-09-28,519.95,520.25,510.1,514.6,514.6,183020,0.0,1.0
32,2022-09-27,525.0,526.8,515.35,521.15,521.15,69192,0.0,1.0
33,2022-09-26,532.5,535.0,520.05,522.6,522.6,108176,0.0,1.0
34,2022-09-23,542.1,544.95,537.2,539.4,539.4,47464,0.0,1.0
35,2022-09-22,547.9,551.15,540.15,545.7,545.7,73566,0.0,1.0
36,2022-09-21,555.5,561.85,549.6,551.35,551.35,101111,0.0,1.0
37,2022-09-20,550.0,564.4,547.95,560.0,560.0,609148,0.0,1.0
38,2022-09-19,552.9,556.65,543.0,548.05,548.05,1999064,0.0,1.0
39,2022-09-16,570.0,570.0,542.85,546.65,546.65,1185139,0.0,1.0
40,2022-09-15,576.25,583.15,566.1,567.0,567.0,48617,0.0,1.0
41,2022-09-14,580.0,586.0,575.2,576.25,576.25,81860,0.0,1.0
42,2022-09-13,601.0,606.0,585.35,586.9,586.9,43545098,0.0,1.0
43,2022-09-12,577.0,584.0,572.7,579.9,579.9,105889,0.0,1.0
44,2022-09-09,585.15,588.2,575.05,576.0,576.0,65238,0.0,1.0
45,2022-09-08,577.05,586.0,577.05,584.35,584.35,45882,0.0,1.0
46,2022-09-07,567.05,578.0,567.05,576.65,576.65,100361,0.0,1.0
47,2022-09-06,573.5,580.45,571.6,574.1,574.1,48989,0.0,1.0
48,2022-09-05,574.5,578.7,570.0,573.4,573.4,80828,0.0,1.0
49,2022-09-02,572.1,586.0,571.35,574.9,574.9,148569,0.0,1.0
50,2022-09-01,574.05,580.7,569.1,575.8,575.8,43570,0.0,1.0
51,2022-08-30,562.0,576.5,562.0,575.1,575.1,38726,0.0,1.0
52,2022-08-29,555.6,564.9,555.05,560.8,560.8,52138,0.0,1.0
53,2022-08-26,579.5,581.25,564.3,566.7,566.7,160711,0.0,1.0
54,2022-08-25,571.0,579.8,568.55,571.2,571.2,54819,0.0,1.0
55,2022-08-24,570.0,574.25,563.15,566.2,566.2,79160,0.0,1.0
56,2022-08-23,559.0,571.05,559.0,566.0,566.0,50270,0.0,1.0
57,2022-08-22,575.5,576.1,565.7,566.5,566.5,46325,0.0,1.0
58,2022-08-19,584.3,594.05,574.25,576.1,576.1,58273,0.0,1.0
59,2022-08-18,589.8,598.95,583.0,586.7,586.7,225861,0.0,1.0
60,2022-08-17,570.6,591.75,570.55,590.0,590.0,146571,0.0,1.0
61,2022-08-16,548.0,572.7,545.85,570.55,570.55,398026,0.0,1.0
62,2022-08-12,543.95,548.2,540.2,545.25,545.25,49468,0.0,1.0
63,2022-08-11,544.0,545.35,539.3,541.5,541.5,95560,0.0,1.0
64,2022-08-10,536.75,543.9,536.55,541.05,541.05,49619,0.0,1.0
65,2022-08-08,539.5,543.45,535.85,536.75,536.75,109477,0.0,1.0
66,2022-08-05,535.0,545.4,535.0,539.3,539.3,84079,0.0,1.0
67,2022-08-04,535.3,539.5,529.4,534.85,534.85,61948,0.0,1.0
68,2022-08-03,540.0,540.75,527.75,535.3,535.3,167996,0.0,1.0
69,2022-08-02,545.0,545.1,534.9,538.55,538.55,84190,0.0,1.0
70,2022-08-01,560.0,560.4,544.3,545.95,545.95,1464364,0.0,1.0
71,2022-07-29,538.9,559.95,534.15,555.55,555.55,616073,0.0,1.0
72,2022-07-28,522.25,536.0,519.65,532.65,532.65,294769,0.0,1.0
73,2022-07-27,528.0,532.35,520.2,521.25,521.25,93714,0.0,1.0
74,2022-07-26,529.0,530.6,520.0,521.85,521.85,63096,0.0,1.0
75,2022-07-25,534.8,535.85,526.0,526.75,526.75,62255,0.0,1.0
76,2022-07-22,532.0,536.9,528.7,534.9,534.9,165648,0.0,1.0
77,2022-07-21,526.0,532.15,519.1,529.15,529.15,111524,0.0,1.0
78,2022-07-20,539.0,540.45,522.1,524.9,524.9,212193,0.0,1.0
79,2022-07-19,542.0,544.6,535.0,535.85,535.85,177015,0.0,1.0
80,2022-07-18,543.95,546.0,540.4,543.25,543.25,1300053,0.0,1.0
81,2022-07-15,538.0,541.55,534.1,539.7,539.7,58267,0.0,1.0
82,2022-07-14,539.3,542.95,532.5,537.2,537.2,63134,0.0,1.0
83,2022-07-13,540.1,545.0,538.9,539.7,539.7,32825,0.0,1.0
84,2022-07-12,544.95,546.3,537.8,539.5,539.5,84115,0.0,1.0
85,2022-07-11,543.9,549.2,541.1,546.7,546.7,78093,0.0,1.0
86,2022-07-08,558.0,558.3,543.55,545.35,545.35,103387,0.0,1.0
87,2022-07-07,564.9,565.25,551.4,554.6,554.6,92381,0.0,1.0
88,2022-07-06,560.0,571.85,555.1,558.05,558.05,69620,0.0,1.0
89,2022-07-05,579.0,580.05,563.4,565.0,565.0,38825,0.0,1.0
90,2022-07-04,569.0,575.5,563.25,574.2,574.2,63426,0.0,1.0
91,2022-07-01,549.95,567.45,540.9,565.55,565.55,71126,0.0,1.0
92,2022-06-30,541.95,555.8,538.05,550.2,550.2,103941,0.0,1.0
93,2022-06-29,556.95,561.5,539.0,540.95,540.95,106253,0.0,1.0
94,2022-06-28,557.0,569.05,549.4,566.1,566.1,33148,0.0,1.0
95,2022-06-27,561.4,572.35,556.8,557.8,557.8,37090,0.0,1.0
96,2022-06-24,560.0,565.15,558.85,561.35,561.35,29104,0.0,1.0
97,2022-06-23,551.85,559.95,549.7,558.0,558.0,42164,0.0,1.0
98,2022-06-22,563.0,563.0,550.65,551.85,551.85,23140,0.0,1.0
99,2022-06-21,557.95,565.65,555.0,564.3,564.3,39488,0.0,1.0
100,2022-06-20,548.05,558.5,546.25,553.5,553.5,77853,0.0,1.0
101,2022-06-17,563.0,571.1,547.2,551.25,551.25,103116,0.0,1.0
102,2022-06-16,583.0,585.65,567.5,571.1,571.1,87379,0.0,1.0
103,2022-06-15,573.0,582.1,571.2,579.75,579.75,38519,0.0,1.0
104,2022-06-14,575.45,584.55,570.0,572.2,572.2,72044,0.0,1.0
105,2022-06-13,588.0,589.6,579.5,583.3,583.3,44434,0.0,1.0
106,2022-06-10,604.9,604.9,591.5,592.65,592.65,61626,0.0,1.0
107,2022-06-09,592.3,606.75,592.3,604.9,604.9,65211,0.0,1.0
108,2022-06-08,606.7,608.55,596.25,600.0,600.0,52393,0.0,1.0
109,2022-06-07,609.8,609.8,593.3,604.45,604.45,46822,0.0,1.0
110,2022-06-06,598.1,614.25,598.1,606.0,606.0,115854,0.0,1.0
111,2022-06-03,610.05,617.0,600.35,602.75,602.75,55135,0.0,1.0
112,2022-06-02,607.0,609.45,591.6,607.65,607.65,85182,0.0,1.0
113,2022-06-01,599.0,608.85,597.05,607.0,607.0,101127,0.0,1.0
114,2022-05-31,608.0,608.0,596.4,599.3,599.3,51844,1.7,1.0
115,2022-05-30,604.0,613.35,599.45,607.85,606.15,261635,0.0,1.0
116,2022-05-27,581.0,604.0,577.2,598.2,596.527,344907,0.0,1.0
117,2022-05-26,570.0,580.1,563.4,578.15,576.5331,63443,0.0,1.0
118,2022-05-25,555.75,571.75,555.75,569.0,567.4087,127659,0.0,1.0
119,2022-05-24,551.2,556.15,545.45,552.65,551.1044,91309,0.0,1.0
120,2022-05-23,543.0,556.45,542.0,551.2,549.6584,52759,0.0,1.0
121,2022-05-20,533.9,547.1,532.35,544.65,543.1268,104470,0.0,1.0
122,2022-05-19,539.95,547.75,526.5,529.05,527.5704,217790,0.0,1.0
123,2022-05-18,555.0,558.3,547.85,549.4,547.8635,80352,0.0,1.0
124,2022-05-17,551.0,556.6,542.5,554.85,553.2982,131981,0.0,1.0
125,2022-05-16,554.9,557.65,544.15,549.85,548.3122,40008,0.0,1.0
126,2022-05-13,552.0,565.85,548.35,550.3,548.761,164860,0.0,1.0
127,2022-05-12,560.0,565.0,544.45,547.45,545.9189,149961,0.0,1.0
128,2022-05-11,559.9,575.5,559.15,563.8,562.2232,86187,0.0,1.0
129,2022-05-10,560.0,572.9,557.55,558.9,557.3369,145009,0.0,1.0
130,2022-05-09,555.55,568.8,555.55,564.0,562.4226,106659,0.0,1.0
131,2022-05-06,521.25,573.6,521.25,566.2,564.6165,210487,0.0,1.0
132,2022-05-05,567.0,577.45,564.0,569.85,568.2563,117855,0.0,1.0
133,2022-05-04,574.1,580.0,564.45,567.65,566.0624,950984,0.0,1.0
134,2022-05-02,578.8,585.95,574.45,579.65,578.0289,153097,0.0,1.0
135,2022-04-29,578.0,593.95,574.05,582.5,580.8709,221762,0.0,1.0
136,2022-04-28,550.0,575.0,546.85,571.35,569.7521,284016,0.0,1.0
137,2022-04-27,551.2,558.45,537.15,547.65,546.1184,114969,0.0,1.0
138,2022-04-26,541.5,555.85,538.0,549.5,547.9632,125861,0.0,1.0
139,2022-04-25,550.0,551.3,536.15,540.25,538.7391,73130,0.0,1.0
140,2022-04-22,569.05,569.05,552.3,554.05,552.5005,80601,0.0,1.0
141,2022-04-21,561.95,575.6,556.85,570.05,568.4557,143502,0.0,1.0
142,2022-04-20,549.35,560.9,541.0,559.55,557.9851,158897,0.0,1.0
143,2022-04-19,577.8,579.65,542.55,547.2,545.6696,739608,0.0,1.0
144,2022-04-18,562.0,576.8,555.55,574.3,572.6938,288663,0.0,1.0
145,2022-04-13,569.7,569.7,562.1,564.55,562.9711,46965,0.0,1.0
146,2022-04-12,567.3,572.6,560.5,562.2,560.6277,72823,0.0,1.0
147,2022-04-11,564.0,571.8,560.75,567.25,565.6635,82811,0.0,1.0
