,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,917.0,921.95,906.0,911.15,911.15,393958,0.0,1.0
1,2022-11-07,909.8,919.8,903.45,917.1,917.1,506655,0.0,1.0
2,2022-11-04,906.4,913.15,900.2,905.65,905.65,479459,0.0,1.0
3,2022-11-03,900.0,913.3,897.2,908.35,908.35,7590889,0.0,1.0
4,2022-11-02,915.0,918.05,902.4,904.45,904.45,296321,0.0,1.0
5,2022-11-01,920.2,920.2,899.55,908.7,908.7,302708,0.0,1.0
6,2022-10-31,913.9,916.8,904.5,908.55,908.55,408746,0.0,1.0
7,2022-10-28,918.2,927.55,901.0,907.9,907.9,145040,0.0,1.0
8,2022-10-27,925.05,933.55,920.1,924.2,924.2,346826,0.0,1.0
9,2022-10-25,938.9,942.7,922.75,924.65,924.65,368105,0.0,1.0
10,2022-10-24,924.0,932.9,917.75,925.9,925.9,283427,0.0,1.0
11,2022-10-21,887.1,910.0,885.5,907.15,907.15,404085,0.0,1.0
12,2022-10-20,891.0,892.9,880.25,888.25,888.25,276885,0.0,1.0
13,2022-10-19,896.75,900.05,885.9,891.7,891.7,131430,0.0,1.0
14,2022-10-18,893.2,900.4,890.95,896.75,896.75,338297,0.0,1.0
15,2022-10-17,869.0,886.95,867.95,885.6,885.6,6352189,0.0,1.0
16,2022-10-14,876.2,880.3,868.5,870.1,870.1,529298,0.0,1.0
17,2022-10-13,862.5,865.35,850.6,853.9,853.9,90500,0.0,1.0
18,2022-10-12,866.0,871.85,861.55,867.75,867.75,262648,0.0,1.0
19,2022-10-11,884.0,884.0,865.6,869.5,869.5,462831,0.0,1.0
20,2022-10-10,869.1,889.65,869.1,881.5,881.5,652092,0.0,1.0
21,2022-10-07,876.4,884.4,873.15,882.0,882.0,117485,0.0,1.0
22,2022-10-06,870.0,891.5,870.0,885.35,885.35,347955,0.0,1.0
23,2022-10-04,862.0,872.35,862.0,867.65,867.65,479617,0.0,1.0
24,2022-10-03,860.0,860.5,846.05,848.05,848.05,221153,0.0,1.0
25,2022-09-30,841.25,867.0,837.25,862.8,862.8,449132,0.0,1.0
26,2022-09-29,855.8,861.5,841.15,844.05,844.05,130673,0.0,1.0
27,2022-09-28,847.0,863.0,842.25,849.2,849.2,621858,0.0,1.0
28,2022-09-27,862.85,874.95,848.5,852.85,852.85,383737,0.0,1.0
29,2022-09-26,869.0,877.65,859.25,861.1,861.1,446917,0.0,1.0
30,2022-09-23,900.0,904.6,878.65,882.75,882.75,222159,0.0,1.0
31,2022-09-22,904.55,911.95,895.2,902.85,902.85,256078,0.0,1.0
32,2022-09-21,908.3,917.0,905.7,915.35,915.35,285231,0.0,1.0
33,2022-09-20,908.9,922.35,908.75,916.75,916.75,248112,0.0,1.0
34,2022-09-19,907.0,912.65,895.2,898.45,898.45,8406904,0.0,1.0
35,2022-09-16,911.2,916.15,905.25,909.0,909.0,607647,0.0,1.0
36,2022-09-15,923.4,936.35,915.75,917.6,917.6,288728,0.0,1.0
37,2022-09-14,896.0,922.0,896.0,918.2,918.2,407552,0.0,1.0
38,2022-09-13,913.0,913.0,905.5,909.25,909.25,163797,0.0,1.0
39,2022-09-12,901.55,908.95,901.55,907.05,907.05,448274,0.0,1.0
40,2022-09-09,907.0,911.75,897.35,901.55,901.55,564521,0.0,1.0
41,2022-09-08,883.1,900.5,883.1,898.9,898.9,630169,0.0,1.0
42,2022-09-07,880.5,882.0,872.4,876.4,876.4,243484,0.0,1.0
43,2022-09-06,882.5,889.85,878.2,883.9,883.9,298524,0.0,1.0
44,2022-09-05,872.9,886.2,872.25,882.25,882.25,211687,0.0,1.0
45,2022-09-02,874.45,881.3,867.0,872.25,872.25,342124,0.0,1.0
46,2022-09-01,865.0,885.75,865.0,874.45,874.45,3867718,0.0,1.0
47,2022-08-30,859.5,890.5,858.9,887.6,887.6,205572,0.0,1.0
48,2022-08-29,847.0,860.85,847.0,855.75,855.75,321909,0.0,1.0
49,2022-08-26,874.4,877.45,867.35,870.9,870.9,209558,0.0,1.0
50,2022-08-25,874.7,881.0,867.0,871.4,871.4,293342,0.0,1.0
51,2022-08-24,856.0,875.0,855.9,872.55,872.55,620407,0.0,1.0
52,2022-08-23,840.0,868.35,840.0,864.65,864.65,331863,0.0,1.0
53,2022-08-22,862.2,866.4,849.4,852.15,852.15,174368,0.0,1.0
54,2022-08-19,883.7,886.55,864.4,870.35,870.35,151434,0.0,1.0
55,2022-08-18,880.2,887.25,875.1,885.0,885.0,1575566,0.0,1.0
56,2022-08-17,884.55,885.6,878.15,883.2,883.2,356579,0.0,1.0
57,2022-08-16,878.55,884.5,876.5,879.65,879.65,254192,0.0,1.0
58,2022-08-12,860.0,876.95,858.3,874.75,874.75,274292,0.0,1.0
59,2022-08-11,854.2,866.15,854.2,859.3,859.3,1379629,0.0,1.0
60,2022-08-10,840.0,853.0,840.0,848.5,848.5,454764,0.0,1.0
61,2022-08-08,838.4,842.3,830.95,836.4,836.4,320925,5.0,1.0
62,2022-08-05,821.55,840.9,821.55,838.4,833.4,286695,0.0,1.0
63,2022-08-04,822.8,830.0,808.5,819.85,814.9606,220402,0.0,1.0
64,2022-08-03,816.5,827.9,811.5,824.7,819.7817,250820,0.0,1.0
65,2022-08-02,821.8,822.0,812.3,816.75,811.8791,112850,0.0,1.0
66,2022-08-01,819.0,825.0,817.1,823.3,818.3901,7395011,0.0,1.0
67,2022-07-29,820.1,822.75,808.0,818.5,813.6187,136020,0.0,1.0
68,2022-07-28,809.7,815.7,805.6,814.45,809.5928,134223,0.0,1.0
69,2022-07-27,795.5,803.5,794.7,800.45,795.6763,91616,0.0,1.0
70,2022-07-26,800.9,802.8,791.5,796.05,791.3026,259251,0.0,1.0
71,2022-07-25,803.95,817.85,797.2,800.9,796.1236,439394,0.0,1.0
72,2022-07-22,787.0,803.75,787.0,800.0,795.229,439983,0.0,1.0
73,2022-07-21,782.25,789.0,780.1,786.3,781.6107,318947,0.0,1.0
74,2022-07-20,789.9,789.9,780.05,782.7,778.0322,486797,0.0,1.0
75,2022-07-19,765.25,781.95,765.25,780.65,775.9944,969911,0.0,1.0
76,2022-07-18,761.0,773.25,757.55,771.95,767.3463,7669001,0.0,1.0
77,2022-07-15,751.65,758.6,744.15,751.1,746.6206,72762,0.0,1.0
78,2022-07-14,751.0,759.1,748.95,752.35,747.8632,70324,0.0,1.0
79,2022-07-13,766.4,766.4,740.0,753.1,748.6087,112384,0.0,1.0
80,2022-07-12,765.6,767.7,757.55,759.85,755.3185,190653,0.0,1.0
81,2022-07-11,755.5,771.4,754.1,769.45,764.8612,164181,0.0,1.0
82,2022-07-08,750.0,757.5,745.55,755.65,751.1435,186092,0.0,1.0
83,2022-07-07,735.2,743.5,733.15,741.95,737.5252,311893,0.0,1.0
84,2022-07-06,720.5,731.8,720.5,726.05,721.72,253775,0.0,1.0
