,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,353.0,361.5,353.0,360.5,360.5,652165,0.0,1.0
1,2022-11-07,354.0,356.4,350.1,353.45,353.45,733198,0.0,1.0
2,2022-11-04,353.0,356.0,352.8,353.55,353.55,658298,0.0,1.0
3,2022-11-03,354.25,358.4,353.05,353.75,353.75,915727,0.0,1.0
4,2022-11-02,348.0,356.2,348.0,354.4,354.4,1025678,0.0,1.0
5,2022-11-01,348.2,350.45,347.25,349.4,349.4,572483,0.0,1.0
6,2022-10-31,347.55,350.55,344.85,348.1,348.1,817775,0.0,1.0
7,2022-10-28,346.0,348.65,345.05,345.6,345.6,1662431,0.0,1.0
8,2022-10-27,346.1,348.15,343.85,345.8,345.8,999136,0.0,1.0
9,2022-10-25,349.25,349.5,343.5,346.25,346.25,1462263,0.0,1.0
10,2022-10-24,349.0,349.9,347.3,347.75,347.75,167423,0.0,1.0
11,2022-10-21,354.0,354.0,344.5,345.55,345.55,1624395,0.0,1.0
12,2022-10-20,346.45,350.9,344.8,349.7,349.7,842904,0.0,1.0
13,2022-10-19,343.8,347.4,339.9,346.35,346.35,521265,0.0,1.0
14,2022-10-18,333.0,341.0,333.0,340.25,340.25,682934,0.0,1.0
15,2022-10-17,331.6,334.65,329.65,332.3,332.3,4093613,0.0,1.0
16,2022-10-14,331.5,333.95,330.8,332.05,332.05,397561,0.0,1.0
17,2022-10-13,329.05,331.25,328.0,328.65,328.65,302396,0.0,1.0
18,2022-10-12,327.05,331.4,324.8,330.15,330.15,242420,0.0,1.0
19,2022-10-11,328.05,330.5,325.05,326.0,326.0,369634,0.0,1.0
20,2022-10-10,329.2,331.3,326.15,327.95,327.95,251092,0.0,1.0
21,2022-10-07,336.55,336.95,331.25,333.95,333.95,248022,0.0,1.0
22,2022-10-06,334.2,339.1,332.6,336.55,336.55,600865,0.0,1.0
23,2022-10-04,328.0,333.9,328.0,332.85,332.85,248840,0.0,1.0
24,2022-10-03,332.0,332.75,323.25,324.3,324.3,344663,0.0,1.0
25,2022-09-30,332.4,335.65,330.0,332.0,332.0,536799,0.0,1.0
26,2022-09-29,328.45,334.9,327.75,333.05,333.05,452235,0.0,1.0
27,2022-09-28,331.1,333.3,323.0,324.9,324.9,798418,0.0,1.0
28,2022-09-27,335.5,339.55,334.0,334.85,334.85,310108,0.0,1.0
29,2022-09-26,345.0,345.95,331.8,332.55,332.55,470506,0.0,1.0
30,2022-09-23,346.85,349.5,343.25,346.25,346.25,957177,0.0,1.0
31,2022-09-22,340.85,348.65,340.8,345.1,345.1,1119605,0.0,1.0
32,2022-09-21,335.0,345.1,335.0,341.05,341.05,564513,0.0,1.0
33,2022-09-20,338.2,339.4,334.55,335.7,335.7,621851,0.0,1.0
34,2022-09-19,328.55,336.75,328.55,335.65,335.65,3318674,0.0,1.0
35,2022-09-16,331.0,334.65,329.7,331.35,331.35,543235,0.0,1.0
36,2022-09-15,335.35,336.95,333.0,334.15,334.15,401082,0.0,1.0
37,2022-09-14,330.0,339.0,330.0,335.35,335.35,647537,0.0,1.0
38,2022-09-13,330.8,335.0,330.7,334.5,334.5,302412,0.0,1.0
39,2022-09-12,331.05,332.0,329.9,330.8,330.8,382450,0.0,1.0
40,2022-09-09,330.0,333.35,330.0,330.55,330.55,516703,0.0,1.0
41,2022-09-08,327.9,330.55,327.5,330.0,330.0,315314,0.0,1.0
42,2022-09-07,326.1,328.2,325.3,326.0,326.0,363584,0.0,1.0
43,2022-09-06,329.65,329.9,326.5,327.15,327.15,259199,0.0,1.0
44,2022-09-05,324.4,329.65,323.85,328.75,328.75,779226,0.0,1.0
45,2022-09-02,318.2,324.2,318.2,323.0,323.0,1099837,0.0,1.0
46,2022-09-01,319.3,321.7,316.0,317.55,317.55,284995,0.0,1.0
47,2022-08-30,313.5,321.4,313.5,320.3,320.3,603193,0.0,1.0
48,2022-08-29,309.55,314.95,308.65,313.4,313.4,325617,0.0,1.0
49,2022-08-26,313.9,315.3,312.05,312.65,312.65,288748,0.0,1.0
50,2022-08-25,315.05,316.35,311.5,312.3,312.3,376381,0.0,1.0
51,2022-08-24,315.8,319.5,313.2,314.25,314.25,549826,0.0,1.0
52,2022-08-23,313.8,316.05,312.55,315.8,315.8,283107,0.0,1.0
53,2022-08-22,309.05,316.95,309.05,314.2,314.2,786896,0.0,1.0
54,2022-08-19,315.75,315.95,311.25,312.2,312.2,268734,0.0,1.0
55,2022-08-18,313.0,316.0,312.65,315.45,315.45,601315,0.0,1.0
56,2022-08-17,311.0,314.7,311.0,313.25,313.25,489446,0.0,1.0
57,2022-08-16,309.65,311.5,308.7,310.5,310.5,375538,0.0,1.0
58,2022-08-12,306.0,309.35,304.45,308.4,308.4,707478,0.0,1.0
59,2022-08-11,313.1,313.35,305.5,306.3,306.3,364772,0.0,1.0
60,2022-08-10,313.45,314.0,310.8,311.15,311.15,198399,0.0,1.0
61,2022-08-08,310.75,313.9,310.25,313.0,313.0,251041,0.0,1.0
62,2022-08-05,309.9,311.75,309.1,310.75,310.75,263423,0.0,1.0
63,2022-08-04,310.0,310.4,307.35,309.45,309.45,423021,0.0,1.0
64,2022-08-03,310.45,310.7,303.7,308.1,308.1,620789,0.0,1.0
65,2022-08-02,310.4,316.65,308.3,309.65,309.65,2563296,0.0,1.0
66,2022-08-01,304.7,308.8,303.15,307.55,307.55,5374195,0.0,1.0
67,2022-07-29,304.25,305.9,301.4,302.95,302.95,342586,0.0,1.0
68,2022-07-28,305.9,305.9,302.4,303.35,303.35,244674,0.0,1.0
69,2022-07-27,303.0,304.7,300.6,303.85,303.85,286541,0.0,1.0
70,2022-07-26,301.7,303.7,300.5,302.35,302.35,244094,0.0,1.0
71,2022-07-25,299.5,302.95,298.85,301.05,301.05,410182,0.0,1.0
72,2022-07-22,299.65,302.5,298.1,300.3,300.3,344097,0.0,1.0
73,2022-07-21,298.95,302.2,298.0,299.5,299.5,499505,0.0,1.0
