,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,710.5,716.35,703.2,706.45,706.45,100758,0.0,1.0
1,2022-11-07,701.0,715.0,700.0,710.25,710.25,141072,0.0,1.0
2,2022-11-04,679.65,703.9,679.65,701.5,701.5,161813,0.0,1.0
3,2022-11-03,676.3,688.0,676.3,680.45,680.45,63320,0.0,1.0
4,2022-11-02,680.3,693.85,680.3,684.45,684.45,62281,0.0,1.0
5,2022-11-01,667.45,688.4,667.45,686.3,686.3,116543,0.0,1.0
6,2022-10-31,668.0,676.1,668.0,674.1,674.1,39141,0.0,1.0
7,2022-10-28,677.0,678.0,663.5,670.25,670.25,67303,0.0,1.0
8,2022-10-27,646.3,682.9,646.3,679.45,679.45,388033,0.0,1.0
9,2022-10-25,624.8,650.6,623.75,644.4,644.4,620154,0.0,1.0
10,2022-10-24,619.0,633.2,619.0,629.2,629.2,16952,0.0,1.0
11,2022-10-21,628.15,629.9,617.0,622.0,622.0,59908,0.0,1.0
12,2022-10-20,617.35,630.0,616.0,628.5,628.5,44480,0.0,1.0
13,2022-10-19,637.05,637.1,624.35,625.85,625.85,66288,0.0,1.0
14,2022-10-18,633.0,638.5,631.5,636.85,636.85,59024,0.0,1.0
15,2022-10-17,636.95,636.95,624.0,631.5,631.5,903041,0.0,1.0
16,2022-10-14,655.55,659.45,638.95,640.15,640.15,56360,0.0,1.0
17,2022-10-13,650.95,656.2,642.0,648.35,648.35,31435,0.0,1.0
18,2022-10-12,643.6,654.0,638.5,650.9,650.9,55435,0.0,1.0
19,2022-10-11,667.15,668.05,640.3,642.45,642.45,890588,0.0,1.0
20,2022-10-10,655.0,667.85,655.0,666.3,666.3,62272,0.0,1.0
21,2022-10-07,672.0,673.2,660.0,666.2,666.2,77333,0.0,1.0
22,2022-10-06,645.05,678.0,645.05,674.9,674.9,124910,0.0,1.0
23,2022-10-04,626.55,645.0,626.55,643.2,643.2,51014,0.0,1.0
24,2022-10-03,627.3,630.15,621.2,623.7,623.7,54365,0.0,1.0
25,2022-09-30,619.0,633.85,614.35,631.8,631.8,57541,0.0,1.0
26,2022-09-29,618.5,627.75,617.15,618.35,618.35,76445,0.0,1.0
27,2022-09-28,632.95,632.95,614.05,616.45,616.45,88005,0.0,1.0
28,2022-09-27,643.75,649.2,632.8,637.05,637.05,76762,0.0,1.0
29,2022-09-26,655.0,660.7,638.25,645.8,645.8,62080,0.0,1.0
30,2022-09-23,678.95,686.2,667.0,668.6,668.6,41762,0.0,1.0
31,2022-09-22,684.95,686.7,674.05,678.95,678.95,57055,0.0,1.0
32,2022-09-21,682.05,692.55,682.05,684.9,684.9,37662,0.0,1.0
33,2022-09-20,679.7,698.0,679.7,688.75,688.75,49755,0.0,1.0
34,2022-09-19,681.0,691.35,675.7,679.8,679.8,1567210,0.0,1.0
35,2022-09-16,682.6,694.35,679.0,685.6,685.6,64247,0.0,1.0
36,2022-09-15,695.0,697.85,684.5,689.5,689.5,76899,0.0,1.0
37,2022-09-14,689.0,701.5,681.85,693.25,693.25,100451,0.0,1.0
38,2022-09-13,689.5,697.7,686.75,690.85,690.85,71609,0.0,1.0
39,2022-09-12,686.1,694.0,681.5,686.35,686.35,112079,0.0,1.0
40,2022-09-09,684.1,701.5,684.1,687.45,687.45,168424,0.0,1.0
41,2022-09-08,683.1,691.1,679.35,685.45,685.45,45881,0.0,1.0
42,2022-09-07,680.0,687.7,676.1,684.35,684.35,67578,0.0,1.0
43,2022-09-06,682.15,686.95,678.4,684.45,684.45,98699,0.0,1.0
44,2022-09-05,661.05,683.15,661.05,682.15,682.15,164551,0.0,1.0
45,2022-09-02,663.0,668.4,654.0,661.35,661.35,63321,0.0,1.0
46,2022-09-01,662.0,669.8,654.9,661.35,661.35,57534,0.0,1.0
47,2022-08-30,653.9,668.0,652.5,666.4,666.4,38381,0.0,1.0
48,2022-08-29,636.0,654.9,636.0,649.45,649.45,98817,0.0,1.0
49,2022-08-26,654.4,670.75,654.4,667.15,667.15,123512,0.0,1.0
50,2022-08-25,652.0,659.9,647.1,648.85,648.85,54956,0.0,1.0
51,2022-08-24,657.95,657.95,647.3,651.7,651.7,78210,0.0,1.0
52,2022-08-23,640.0,655.0,638.2,652.4,652.4,53376,0.0,1.0
53,2022-08-22,662.6,662.6,641.25,642.85,642.85,69853,0.0,1.0
54,2022-08-19,680.7,680.7,663.0,664.25,664.25,88765,0.0,1.0
55,2022-08-18,673.95,677.85,668.85,673.5,673.5,55575,0.0,1.0
56,2022-08-17,673.8,676.75,668.6,672.4,672.4,60293,0.0,1.0
57,2022-08-16,682.6,682.6,670.8,673.8,673.8,57716,0.0,1.0
58,2022-08-12,678.95,685.0,673.5,678.1,678.1,72559,0.0,1.0
59,2022-08-11,672.0,678.35,669.8,673.2,673.2,65266,0.0,1.0
60,2022-08-10,674.0,675.0,660.2,669.85,669.85,69762,0.0,1.0
61,2022-08-08,667.2,675.85,662.3,669.05,669.05,88563,0.0,1.0
62,2022-08-05,664.25,673.75,664.25,667.2,667.2,70145,0.0,1.0
63,2022-08-04,652.6,673.35,652.6,664.25,664.25,152595,0.0,1.0
64,2022-08-03,649.2,660.8,644.9,652.6,652.6,124322,0.0,1.0
65,2022-08-02,640.0,649.95,626.25,648.2,648.2,102075,0.0,1.0
66,2022-08-01,635.0,641.0,628.2,639.15,639.15,1097888,0.0,1.0
67,2022-07-29,620.6,637.8,620.6,629.35,629.35,185585,0.0,1.0
68,2022-07-28,605.0,627.15,603.4,616.9,616.9,163868,0.0,1.0
69,2022-07-27,595.0,603.9,590.0,602.55,602.55,119529,0.0,1.0
70,2022-07-26,587.0,599.2,582.1,597.85,597.85,122633,0.0,1.0
71,2022-07-25,573.0,588.2,573.0,585.2,585.2,164667,0.0,1.0
72,2022-07-22,592.1,592.4,579.65,582.35,582.35,141472,0.0,1.0
73,2022-07-21,590.3,595.9,585.05,588.2,588.2,151050,0.0,1.0
74,2022-07-20,591.2,600.0,587.25,590.3,590.3,141742,0.0,1.0
75,2022-07-19,583.5,589.5,577.65,584.75,584.75,89966,0.0,1.0
76,2022-07-18,582.1,592.0,580.35,585.95,585.95,1105616,0.0,1.0
77,2022-07-15,578.0,584.0,569.5,576.35,576.35,104568,0.0,1.0
78,2022-07-14,590.0,594.0,574.3,584.6,584.6,120480,0.0,1.0
79,2022-07-13,573.0,593.5,573.0,588.45,588.45,175107,0.0,1.0
80,2022-07-12,575.0,581.3,563.65,574.45,574.45,98644,0.0,1.0
81,2022-07-11,565.0,591.0,561.2,576.9,576.9,107874,0.0,1.0
82,2022-07-08,580.0,580.5,563.0,566.0,566.0,119023,0.0,1.0
83,2022-07-07,560.05,577.85,551.7,574.65,574.65,210227,0.0,1.0
84,2022-07-06,545.45,557.4,541.05,555.15,555.15,120827,0.0,1.0
85,2022-07-05,554.2,564.0,551.35,552.5,552.5,163877,0.0,1.0
86,2022-07-04,564.95,565.0,544.1,551.7,534.35,116245,17.35,1.0
87,2022-07-01,556.0,580.65,556.0,578.5,543.5028,69012,0.0,1.0
88,2022-06-30,576.3,582.0,556.3,563.2,546.3089,112700,0.0,1.0
89,2022-06-29,575.0,581.0,568.6,576.0,558.725,83843,0.0,1.0
90,2022-06-28,571.1,580.5,568.0,578.45,561.1015,120002,0.0,1.0
91,2022-06-27,578.0,588.6,570.4,571.75,554.6024,163627,0.0,1.0
92,2022-06-24,562.0,572.65,560.25,567.4,550.3829,96962,0.0,1.0
93,2022-06-23,547.05,565.45,547.05,558.8,542.0408,125038,0.0,1.0
94,2022-06-22,570.0,570.0,542.6,550.3,533.7958,145416,0.0,1.0
95,2022-06-21,548.05,580.35,548.05,576.15,558.8705,144431,0.0,1.0
96,2022-06-20,553.0,553.0,536.3,550.45,533.9413,155985,0.0,1.0
97,2022-06-17,541.95,561.5,540.0,554.35,537.7243,171654,0.0,1.0
98,2022-06-16,572.0,572.6,544.35,545.6,529.2367,221166,0.0,1.0
99,2022-06-15,561.7,568.55,557.1,563.15,546.2604,92288,0.0,1.0
100,2022-06-14,559.0,576.5,559.0,561.7,544.8539,108832,0.0,1.0
101,2022-06-13,564.0,567.95,555.5,564.15,547.2304,135985,0.0,1.0
102,2022-06-10,565.0,573.95,561.25,572.3,555.1359,100427,0.0,1.0
103,2022-06-09,568.0,575.5,564.2,572.35,555.1844,122829,0.0,1.0
104,2022-06-08,575.6,583.0,572.25,575.9,558.628,156361,0.0,1.0
105,2022-06-07,576.1,579.2,567.35,571.8,554.6509,106200,0.0,1.0
106,2022-06-06,558.2,583.0,554.35,578.55,561.1985,259061,0.0,1.0
107,2022-06-03,578.0,581.95,560.0,562.45,545.5814,156358,0.0,1.0
108,2022-06-02,573.9,575.0,557.65,573.15,555.9605,264901,0.0,1.0
109,2022-06-01,553.0,572.0,549.35,569.95,552.8564,446179,0.0,1.0
110,2022-05-31,536.8,558.0,533.0,551.3,534.7658,440875,0.0,1.0
111,2022-05-30,530.0,544.8,525.75,538.65,522.4952,555346,0.0,1.0
112,2022-05-27,561.8,561.8,539.45,548.65,532.1952,188769,0.0,1.0
113,2022-05-26,532.55,555.75,520.1,551.65,535.1053,253786,0.0,1.0
114,2022-05-25,543.85,545.15,521.25,528.3,512.4556,126119,0.0,1.0
115,2022-05-24,547.0,556.25,538.0,539.55,523.3682,268956,0.0,1.0
116,2022-05-23,602.6,602.6,538.0,547.6,531.1767,515611,0.0,1.0
117,2022-05-20,620.0,634.0,618.55,630.85,611.93,128108,0.0,1.0
118,2022-05-19,612.5,622.0,592.3,599.95,581.9567,170778,0.0,1.0
119,2022-05-18,647.5,647.5,628.05,631.35,612.415,93978,0.0,1.0
120,2022-05-17,607.6,645.65,607.6,642.0,622.7455,396462,0.0,1.0
121,2022-05-16,611.5,626.5,599.0,601.7,583.6542,129224,0.0,1.0
122,2022-05-13,634.3,636.75,594.45,599.85,581.8597,238233,0.0,1.0
123,2022-05-12,645.5,651.5,620.0,624.65,605.9159,344487,0.0,1.0
124,2022-05-11,643.0,658.0,635.5,649.0,629.5356,202855,0.0,1.0
125,2022-05-10,673.55,677.0,643.25,645.4,626.0436,402456,0.0,1.0
126,2022-05-09,675.5,686.6,668.0,679.0,658.6359,316179,0.0,1.0
127,2022-05-06,688.9,700.0,680.5,690.65,669.9365,188588,0.0,1.0
128,2022-05-05,723.3,726.0,705.0,707.6,686.3781,212540,0.0,1.0
129,2022-05-04,732.0,736.05,708.25,711.25,689.9186,1177823,0.0,1.0
130,2022-05-02,721.0,734.0,709.5,731.9,709.9493,66112,0.0,1.0
131,2022-04-29,729.0,739.95,723.05,726.85,705.0508,120565,0.0,1.0
132,2022-04-28,731.0,734.15,722.85,729.3,707.4273,166476,0.0,1.0
133,2022-04-27,715.0,733.9,711.0,720.95,699.3277,77688,0.0,1.0
134,2022-04-26,722.0,724.15,713.5,721.1,699.4732,79467,0.0,1.0
135,2022-04-25,717.5,718.9,695.3,715.5,694.0412,401072,0.0,1.0
136,2022-04-22,727.0,737.25,722.05,723.65,701.9468,65390,0.0,1.0
137,2022-04-21,739.0,746.5,726.0,734.2,712.1803,167334,0.0,1.0
138,2022-04-20,760.9,760.9,732.7,738.95,716.7879,133622,0.0,1.0
139,2022-04-19,774.0,789.95,734.65,746.25,723.8689,291678,0.0,1.0
140,2022-04-18,767.0,775.5,758.1,767.95,744.9181,143179,0.0,1.0
141,2022-04-13,756.2,781.25,756.2,766.2,743.2206,200920,0.0,1.0
142,2022-04-12,770.0,774.2,738.3,755.75,733.084,219528,0.0,1.0
143,2022-04-11,758.85,775.0,756.45,767.25,744.2391,143194,0.0,1.0
144,2022-04-08,730.1,762.0,730.1,756.45,733.763,313734,0.0,1.0
