,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,1895.05,1903.5,1880.45,1896.45,1896.45,39228,0.0,1.0
1,2022-11-07,1900.0,1909.8,1872.0,1883.05,1883.05,86133,0.0,1.0
2,2022-11-04,1892.35,1907.25,1892.35,1900.65,1900.65,11702,0.0,1.0
3,2022-11-03,1910.0,1912.05,1893.1,1899.85,1899.85,37129,0.0,1.0
4,2022-11-02,1919.5,1919.5,1898.3,1909.6,1909.6,18331,0.0,1.0
5,2022-11-01,1902.25,1940.9,1902.25,1908.85,1908.85,62469,0.0,1.0
6,2022-10-31,1899.6,1912.8,1889.4,1901.8,1901.8,31801,0.0,1.0
7,2022-10-28,1872.0,1894.85,1871.7,1883.7,1883.7,73572,0.0,1.0
8,2022-10-27,1880.0,1888.1,1850.0,1869.2,1869.2,71280,0.0,1.0
9,2022-10-25,1906.8,1911.0,1842.35,1847.05,1847.05,64134,0.0,1.0
10,2022-10-24,1906.85,1915.0,1889.3,1894.85,1894.85,33174,0.0,1.0
11,2022-10-21,1874.65,1925.0,1866.6,1902.9,1902.9,215842,0.0,1.0
12,2022-10-20,1872.45,1882.25,1856.0,1864.6,1864.6,34917,0.0,1.0
13,2022-10-19,1875.35,1877.0,1856.0,1869.35,1869.35,30372,0.0,1.0
14,2022-10-18,1868.0,1875.4,1855.1,1860.05,1860.05,30646,0.0,1.0
15,2022-10-17,1827.0,1861.3,1819.75,1858.5,1858.5,758730,0.0,1.0
16,2022-10-14,1834.95,1857.2,1825.0,1834.55,1834.55,26646,0.0,1.0
17,2022-10-13,1811.0,1815.1,1793.55,1800.35,1800.35,17797,0.0,1.0
18,2022-10-12,1793.45,1815.45,1782.65,1810.45,1810.45,12011,0.0,1.0
19,2022-10-11,1816.2,1816.2,1783.8,1787.55,1787.55,36953,0.0,1.0
20,2022-10-10,1796.45,1821.0,1795.0,1808.6,1808.6,24723,0.0,1.0
21,2022-10-07,1814.0,1829.9,1802.4,1825.65,1825.65,17671,0.0,1.0
22,2022-10-06,1825.35,1837.9,1811.85,1818.25,1818.25,32419,0.0,1.0
23,2022-10-04,1801.35,1828.0,1801.35,1823.5,1823.5,26017,0.0,1.0
24,2022-10-03,1810.0,1812.4,1774.0,1784.35,1784.35,78301,0.0,1.0
25,2022-09-30,1765.1,1827.0,1757.35,1821.25,1821.25,48847,0.0,1.0
26,2022-09-29,1800.0,1809.8,1760.35,1764.5,1764.5,38151,0.0,1.0
27,2022-09-28,1790.0,1808.2,1775.05,1791.65,1791.65,36875,0.0,1.0
28,2022-09-27,1830.0,1835.0,1793.0,1801.25,1801.25,42974,0.0,1.0
29,2022-09-26,1836.0,1856.7,1817.0,1829.05,1829.05,29115,0.0,1.0
30,2022-09-23,1875.0,1884.7,1842.1,1862.4,1862.4,39733,0.0,1.0
31,2022-09-22,1900.0,1924.15,1882.0,1891.55,1891.55,30486,0.0,1.0
32,2022-09-21,1930.0,1949.0,1899.0,1918.15,1918.15,29714,0.0,1.0
33,2022-09-20,1933.05,1960.65,1932.2,1939.15,1939.15,53196,0.0,1.0
34,2022-09-19,1925.0,1940.15,1907.6,1929.95,1929.95,559988,0.0,1.0
35,2022-09-16,1926.25,1945.0,1910.35,1930.55,1930.55,145896,0.0,1.0
36,2022-09-15,1969.9,1986.5,1922.95,1934.5,1934.5,87907,0.0,1.0
37,2022-09-14,1885.0,1977.25,1885.0,1953.2,1953.2,85958,0.0,1.0
38,2022-09-13,1938.0,1939.0,1920.1,1922.8,1922.8,43734,0.0,1.0
39,2022-09-12,1925.0,1943.6,1917.9,1924.75,1924.75,112656,0.0,1.0
40,2022-09-09,1942.0,1950.0,1916.55,1926.0,1926.0,74122,0.0,1.0
41,2022-09-08,1910.0,1938.95,1910.0,1930.5,1930.5,206722,0.0,1.0
42,2022-09-07,1891.2,1914.55,1885.55,1908.8,1908.8,120659,0.0,1.0
43,2022-09-06,1940.0,1949.65,1909.9,1915.95,1915.95,132302,0.0,1.0
44,2022-09-05,1902.0,1956.15,1902.0,1938.0,1938.0,73622,0.0,1.0
45,2022-09-02,1912.0,1929.85,1904.5,1918.25,1918.25,142832,0.0,1.0
46,2022-09-01,1888.05,1925.0,1876.15,1903.85,1903.85,61641,0.0,1.0
