,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,177.0,177.65,172.25,173.45,173.45,2140535,0.0,1.0
1,2022-11-07,177.45,179.45,174.9,175.7,175.7,2135383,0.0,1.0
2,2022-11-04,178.55,179.55,176.4,176.85,176.85,671142,0.0,1.0
3,2022-11-03,178.65,181.8,177.25,178.15,178.15,315702,0.0,1.0
4,2022-11-02,181.5,182.65,180.0,180.8,180.8,1277690,0.0,1.0
5,2022-11-01,173.1,182.8,173.1,181.75,181.75,2421315,0.0,1.0
6,2022-10-31,170.0,174.0,169.0,173.1,173.1,1165621,0.0,1.0
7,2022-10-28,170.15,174.65,170.0,174.15,174.15,1379148,0.0,1.0
8,2022-10-27,169.3,171.4,167.65,170.6,170.6,780682,0.0,1.0
9,2022-10-25,166.55,169.65,165.5,169.15,169.15,112497,0.0,1.0
10,2022-10-24,165.4,167.85,165.4,166.9,166.9,76384,0.0,1.0
11,2022-10-21,166.35,168.35,164.45,165.05,165.05,1159453,0.0,1.0
12,2022-10-20,164.0,167.85,161.45,166.8,166.8,1404117,0.0,1.0
13,2022-10-19,166.85,168.1,163.85,164.0,164.0,759002,0.0,1.0
14,2022-10-18,169.0,169.4,166.4,166.95,166.95,716620,0.0,1.0
15,2022-10-17,164.25,169.0,164.05,168.1,168.1,6408642,0.0,1.0
16,2022-10-14,165.6,167.45,164.8,165.0,165.0,225560,0.0,1.0
17,2022-10-13,164.95,166.85,164.25,164.7,164.7,842514,0.0,1.0
18,2022-10-12,164.95,165.35,161.35,164.9,164.9,1330924,0.0,1.0
19,2022-10-11,164.05,164.25,160.35,161.0,161.0,6819145,0.0,1.0
20,2022-10-10,162.0,165.6,161.9,163.85,163.85,675850,0.0,1.0
21,2022-10-07,163.1,164.75,161.45,164.3,164.3,1269231,0.0,1.0
22,2022-10-06,163.9,165.2,162.5,162.75,162.75,116226,0.0,1.0
23,2022-10-04,160.85,164.0,160.85,162.45,162.45,1311239,0.0,1.0
24,2022-10-03,158.8,164.05,158.8,160.4,160.4,462888,0.0,1.0
25,2022-09-30,159.7,161.5,157.45,159.75,159.75,308787,0.0,1.0
26,2022-09-29,158.15,161.6,158.15,159.7,159.7,1049168,0.0,1.0
27,2022-09-28,157.5,159.4,155.05,158.25,158.25,399222,0.0,1.0
28,2022-09-27,158.05,161.5,157.55,159.1,159.1,284544,0.0,1.0
29,2022-09-26,162.0,163.85,156.65,158.55,158.55,1752381,0.0,1.0
30,2022-09-23,167.5,168.5,162.65,164.05,164.05,492217,0.0,1.0
31,2022-09-22,167.75,169.6,166.9,168.65,168.65,302376,0.0,1.0
32,2022-09-21,170.9,172.05,168.25,168.65,168.65,186701,0.0,1.0
33,2022-09-20,171.05,173.15,170.9,171.8,171.8,807578,0.0,1.0
34,2022-09-19,172.7,173.7,170.6,171.1,171.1,4271406,0.0,1.0
35,2022-09-16,174.0,174.75,171.4,172.9,172.9,1041577,0.0,1.0
36,2022-09-15,174.3,176.15,172.7,175.05,175.05,1594558,0.0,1.0
37,2022-09-14,163.05,173.0,163.05,171.65,171.65,2584664,0.0,1.0
38,2022-09-13,166.2,168.9,165.7,167.35,167.35,1156441,0.0,1.0
39,2022-09-12,166.7,168.05,165.45,166.35,166.35,2603938,0.0,1.0
40,2022-09-09,167.0,169.35,166.05,166.6,166.6,2071389,0.0,1.0
41,2022-09-08,167.95,169.15,165.95,166.75,166.75,1297370,0.0,1.0
42,2022-09-07,168.7,170.15,166.7,167.3,167.3,2384852,0.0,1.0
43,2022-09-06,166.15,168.85,164.8,168.4,168.4,2065129,0.0,1.0
44,2022-09-05,161.8,165.05,161.8,164.2,164.2,1286875,0.0,1.0
45,2022-09-02,162.7,166.35,161.3,161.7,161.7,1444005,0.0,1.0
46,2022-09-01,160.85,164.3,160.3,160.6,160.6,1255190,0.0,1.0
47,2022-08-30,161.15,165.45,161.15,163.85,163.85,1976350,0.0,1.0
48,2022-08-29,161.0,163.35,160.65,161.0,161.0,1240016,0.0,1.0
49,2022-08-26,158.3,164.7,158.3,163.4,163.4,2939439,0.0,1.0
50,2022-08-25,161.8,162.0,158.55,158.95,158.95,1139104,0.0,1.0
51,2022-08-24,158.4,163.0,158.1,160.4,160.4,1828511,0.0,1.0
52,2022-08-23,155.4,159.3,155.4,158.35,158.35,1824504,0.0,1.0
53,2022-08-22,157.8,158.85,156.1,156.55,156.55,747417,0.0,1.0
54,2022-08-19,160.0,161.55,157.2,157.7,157.7,1195209,0.0,1.0
55,2022-08-18,161.45,162.65,159.9,160.75,160.75,970674,0.0,1.0
56,2022-08-17,158.75,163.65,158.75,161.45,161.45,673306,0.0,1.0
57,2022-08-16,158.7,159.8,156.95,158.5,158.5,671432,0.0,1.0
58,2022-08-12,153.4,158.9,152.8,158.55,158.55,935141,0.0,1.0
59,2022-08-11,156.4,156.8,152.9,153.55,153.55,481154,0.0,1.0
60,2022-08-10,157.4,157.4,154.9,155.7,155.7,1369086,3.0,1.0
61,2022-08-08,155.05,160.0,154.9,159.2,156.2,1665526,0.0,1.0
62,2022-08-05,155.2,157.1,154.1,155.9,152.8961,417139,0.0,1.0
63,2022-08-04,159.1,160.55,153.1,154.8,151.8173,886100,0.0,1.0
64,2022-08-03,159.45,160.9,157.25,159.75,156.672,495691,0.0,1.0
65,2022-08-02,156.35,160.05,156.35,159.5,156.4268,599520,0.0,1.0
66,2022-08-01,152.95,157.65,151.05,156.6,153.5827,5798401,0.0,1.0
67,2022-07-29,151.4,154.4,150.55,152.95,150.003,389348,0.0,1.0
68,2022-07-28,149.7,150.95,149.0,150.35,147.4531,241589,0.0,1.0
69,2022-07-27,151.1,151.1,149.05,149.8,146.9137,96081,0.0,1.0
70,2022-07-26,149.6,150.95,149.15,149.9,147.0118,191295,0.0,1.0
71,2022-07-25,149.95,150.4,147.3,150.15,147.2569,328802,0.0,1.0
72,2022-07-22,150.75,151.4,148.2,148.9,146.031,128762,0.0,1.0
73,2022-07-21,151.45,151.45,150.0,150.7,147.7963,346447,0.0,1.0
74,2022-07-20,152.6,152.6,150.15,150.55,147.6492,132183,0.0,1.0
75,2022-07-19,149.5,151.1,149.25,150.7,147.7963,319275,0.0,1.0
76,2022-07-18,150.7,151.6,149.35,149.85,146.9627,6562076,0.0,1.0
