,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,138.35,139.0,137.05,138.65,138.65,376942,0.0,1.0
1,2022-11-07,137.85,138.95,136.8,138.5,138.5,639353,0.0,1.0
2,2022-11-04,136.0,138.4,136.0,137.85,137.85,255232,0.0,1.0
3,2022-11-03,136.5,136.7,135.15,136.35,136.35,378510,0.0,1.0
4,2022-11-02,135.55,139.0,135.4,136.5,136.5,1512275,0.0,1.0
5,2022-11-01,133.5,135.65,133.5,135.15,135.15,284122,0.0,1.0
6,2022-10-31,133.9,135.2,132.75,134.0,134.0,605767,0.0,1.0
7,2022-10-28,131.7,135.6,131.7,133.7,133.7,705111,0.0,1.0
8,2022-10-27,130.8,132.2,130.3,131.7,131.7,498413,0.0,1.0
9,2022-10-25,132.05,132.85,129.9,130.65,130.65,2654674,0.0,1.0
10,2022-10-24,132.55,133.9,132.4,132.85,132.85,75380,0.0,1.0
11,2022-10-21,129.85,133.3,128.9,131.5,131.5,1174935,0.0,1.0
12,2022-10-20,127.0,130.9,125.85,129.7,129.7,487365,0.0,1.0
13,2022-10-19,128.7,128.7,127.5,127.7,127.7,275095,0.0,1.0
14,2022-10-18,128.05,129.1,127.6,128.7,128.7,357010,0.0,1.0
15,2022-10-17,126.95,128.2,125.9,127.8,127.8,3623118,0.0,1.0
16,2022-10-14,131.65,132.45,127.2,127.6,127.6,543116,0.0,1.0
17,2022-10-13,130.75,131.8,127.65,129.8,129.8,670672,0.0,1.0
18,2022-10-12,131.1,131.95,129.15,131.4,131.4,523013,0.0,1.0
19,2022-10-11,133.0,133.4,130.3,131.1,131.1,3825378,0.0,1.0
20,2022-10-10,132.5,133.95,132.1,133.25,133.25,491501,0.0,1.0
21,2022-10-07,132.0,134.2,131.15,134.05,134.05,794639,0.0,1.0
22,2022-10-06,136.0,136.4,132.45,132.7,132.7,998013,0.0,1.0
23,2022-10-04,134.4,135.0,131.8,133.9,133.9,466392,0.0,1.0
24,2022-10-03,131.4,134.9,130.85,132.35,132.35,4055985,0.0,1.0
25,2022-09-30,126.5,132.35,125.55,126.85,126.85,1446054,0.0,1.0
26,2022-09-29,123.2,128.1,123.2,126.6,126.6,1137383,0.0,1.0
27,2022-09-28,124.45,124.45,121.5,122.6,122.6,869853,0.0,1.0
28,2022-09-27,124.5,127.85,123.8,124.5,124.5,978167,0.0,1.0
29,2022-09-26,127.95,128.85,122.6,123.45,123.45,1192374,0.0,1.0
30,2022-09-23,128.9,129.05,127.5,128.65,128.65,714724,0.0,1.0
31,2022-09-22,130.1,130.8,128.1,128.7,128.7,499392,0.0,1.0
