,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,230.25,230.75,218.05,218.75,218.75,425802,0.0,1.0
1,2022-11-07,226.65,231.6,226.4,228.0,228.0,818452,0.0,1.0
2,2022-11-04,227.0,229.45,225.05,226.15,226.15,105210,0.0,1.0
3,2022-11-03,232.45,233.5,226.8,228.05,228.05,1155696,0.0,1.0
4,2022-11-02,235.1,236.5,232.8,233.25,233.25,746201,0.0,1.0
5,2022-11-01,230.7,236.0,229.85,235.1,235.1,1003316,0.0,1.0
6,2022-10-31,227.0,230.2,226.7,228.1,228.1,356322,0.0,1.0
7,2022-10-28,223.15,228.9,223.15,226.7,226.7,526613,0.0,1.0
8,2022-10-27,218.65,224.8,217.4,223.85,223.85,637618,0.0,1.0
9,2022-10-25,218.0,219.3,214.35,218.45,218.45,270777,0.0,1.0
10,2022-10-24,218.3,220.2,218.3,218.7,218.7,30181,0.0,1.0
11,2022-10-21,214.5,218.9,214.0,216.95,216.95,213401,0.0,1.0
12,2022-10-20,212.2,218.0,212.2,217.55,217.55,190824,0.0,1.0
13,2022-10-19,212.4,216.9,212.4,213.85,213.85,312996,0.0,1.0
14,2022-10-18,212.15,215.0,211.5,212.4,212.4,767595,0.0,1.0
15,2022-10-17,212.0,214.8,211.25,211.9,211.9,4551076,0.0,1.0
16,2022-10-14,217.15,217.85,211.6,212.55,212.55,1869182,0.0,1.0
17,2022-10-13,215.55,217.25,213.4,213.75,213.75,1113683,0.0,1.0
18,2022-10-12,209.5,216.0,209.5,215.6,215.6,385702,0.0,1.0
19,2022-10-11,209.05,211.45,206.55,208.3,208.3,5027553,0.0,1.0
20,2022-10-10,205.95,211.9,205.95,208.95,208.95,705865,0.0,1.0
21,2022-10-07,204.9,209.7,203.1,209.3,209.3,1113779,0.0,1.0
22,2022-10-06,208.9,210.95,205.55,206.3,206.3,395480,0.0,1.0
23,2022-10-04,213.35,213.35,208.05,208.5,208.5,247383,0.0,1.0
24,2022-10-03,212.15,214.6,209.05,210.75,210.75,334049,0.0,1.0
25,2022-09-30,207.75,218.6,207.45,212.15,212.15,1699878,0.0,1.0
26,2022-09-29,208.2,212.1,206.1,208.5,208.5,1349504,0.0,1.0
27,2022-09-28,204.9,210.4,202.65,207.8,207.8,828029,0.0,1.0
