,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,620.0,620.55,610.7,615.55,615.55,935161,0.0,1.0
1,2022-11-07,614.0,622.9,607.85,614.2,614.2,1680075,0.0,1.0
2,2022-11-04,586.0,596.75,580.6,593.75,593.75,797243,0.0,1.0
3,2022-11-03,568.8,587.9,568.8,584.8,584.8,777934,0.0,1.0
4,2022-11-02,575.1,578.95,570.0,573.95,573.95,281391,0.0,1.0
5,2022-11-01,575.2,585.5,574.5,576.75,576.75,876313,0.0,1.0
6,2022-10-31,573.4,577.1,568.4,573.8,573.8,507867,0.0,1.0
7,2022-10-28,579.75,582.5,567.0,570.75,570.75,299442,0.0,1.0
8,2022-10-27,582.5,584.95,577.75,579.55,579.55,643193,0.0,1.0
9,2022-10-25,571.2,586.1,568.05,578.15,578.15,1011296,0.0,1.0
10,2022-10-24,566.25,572.4,566.25,570.35,570.35,139821,0.0,1.0
11,2022-10-21,557.9,565.55,556.95,560.8,560.8,718300,0.0,1.0
12,2022-10-20,555.65,556.75,545.4,555.4,555.4,366493,0.0,1.0
13,2022-10-19,562.45,563.4,551.45,553.2,553.2,458561,0.0,1.0
14,2022-10-18,546.1,563.4,546.1,562.45,562.45,940655,0.0,1.0
15,2022-10-17,526.05,544.8,524.95,543.9,543.9,402075,0.0,1.0
16,2022-10-14,530.0,534.7,525.95,527.05,527.05,216543,0.0,1.0
17,2022-10-13,533.0,533.7,520.35,521.35,521.35,379867,0.0,1.0
18,2022-10-12,528.15,535.1,526.05,533.95,533.95,187354,0.0,1.0
19,2022-10-11,530.3,533.6,525.6,527.2,527.2,227126,0.0,1.0
20,2022-10-10,525.0,533.9,522.15,530.3,530.3,408969,0.0,1.0
21,2022-10-07,535.8,535.8,526.65,530.35,530.35,301605,0.0,1.0
22,2022-10-06,533.05,541.7,533.05,537.25,537.25,408934,0.0,1.0
23,2022-10-04,531.0,535.8,528.0,532.7,532.7,283557,0.0,1.0
24,2022-10-03,528.7,531.4,518.3,519.65,519.65,444614,0.0,1.0
25,2022-09-30,524.0,536.95,516.3,531.05,531.05,906209,0.0,1.0
26,2022-09-29,528.0,535.55,519.65,521.95,521.95,1020982,0.0,1.0
27,2022-09-28,533.0,539.75,520.7,525.3,525.3,1189112,0.0,1.0
28,2022-09-27,544.0,550.75,533.2,536.25,536.25,675627,0.0,1.0
29,2022-09-26,546.5,549.0,533.1,543.8,543.8,661959,0.0,1.0
30,2022-09-23,564.4,568.0,549.5,550.45,550.45,515453,0.0,1.0
31,2022-09-22,566.05,574.0,562.0,567.4,567.4,440248,0.0,1.0
32,2022-09-21,574.55,577.1,565.55,569.8,569.8,450751,0.0,1.0
33,2022-09-20,575.5,578.0,572.75,574.1,574.1,397222,0.0,1.0
34,2022-09-19,561.0,574.4,559.4,572.4,572.4,1928071,0.0,1.0
35,2022-09-16,567.8,573.9,560.3,561.6,561.6,295284,0.0,1.0
