,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,1025.8,1036.4,1010.0,1012.75,1012.75,109655,0.0,1.0
1,2022-11-07,1039.1,1049.15,1021.05,1027.8,1027.8,331070,0.0,1.0
2,2022-11-04,1044.0,1045.05,1031.5,1039.5,1039.5,82474,0.0,1.0
3,2022-11-03,1048.0,1055.5,1039.8,1044.0,1044.0,49404,0.0,1.0
4,2022-11-02,1038.5,1070.8,1032.9,1051.75,1051.75,459815,0.0,1.0
5,2022-11-01,1017.5,1048.25,1017.5,1033.1,1033.1,225375,0.0,1.0
6,2022-10-31,990.0,1027.1,990.0,1015.95,1015.95,212946,0.0,1.0
7,2022-10-28,1002.45,1003.05,987.6,989.75,989.75,56581,0.0,1.0
8,2022-10-27,996.0,1013.0,996.0,1011.6,1011.6,90364,0.0,1.0
9,2022-10-25,987.9,997.0,985.65,991.35,991.35,29069,0.0,1.0
10,2022-10-24,980.0,989.95,980.0,986.6,986.6,22539,0.0,1.0
11,2022-10-21,977.3,991.85,976.0,977.9,977.9,58426,0.0,1.0
12,2022-10-20,973.65,982.65,967.0,980.65,980.65,30204,0.0,1.0
13,2022-10-19,970.05,980.7,965.5,976.55,976.55,32282,0.0,1.0
14,2022-10-18,980.05,984.7,973.0,978.3,978.3,32449,0.0,1.0
15,2022-10-17,976.0,984.9,973.2,979.9,979.9,43706,0.0,1.0
16,2022-10-14,979.75,979.75,963.95,975.85,975.85,104525,0.0,1.0
17,2022-10-13,953.05,973.35,951.5,968.5,968.5,111802,0.0,1.0
18,2022-10-12,944.55,960.0,941.4,955.55,955.55,109671,0.0,1.0
19,2022-10-11,945.55,953.2,940.05,944.55,944.55,141566,0.0,1.0
20,2022-10-10,946.0,954.0,935.05,946.05,946.05,117539,0.0,1.0
21,2022-10-07,953.0,961.8,946.5,955.3,955.3,204993,0.0,1.0
22,2022-10-06,951.0,961.85,947.6,953.6,953.6,246198,0.0,1.0
23,2022-10-04,952.6,955.8,922.45,942.25,942.25,298924,0.0,1.0
24,2022-10-03,951.0,967.5,942.75,944.55,944.55,142685,0.0,1.0
25,2022-09-30,930.05,950.95,930.0,949.0,949.0,287790,0.0,1.0
26,2022-09-29,921.25,955.4,921.25,930.8,930.8,223410,0.0,1.0
27,2022-09-28,897.95,925.75,892.85,918.15,918.15,137187,0.0,1.0
28,2022-09-27,898.0,909.95,894.5,896.9,896.9,130793,0.0,1.0
29,2022-09-26,915.0,926.35,891.6,897.4,897.4,95226,0.0,1.0
30,2022-09-23,907.0,926.7,904.5,920.8,920.8,179424,0.0,1.0
31,2022-09-22,896.0,911.0,895.5,906.95,906.95,86794,0.0,1.0
32,2022-09-21,916.0,927.8,903.0,905.2,905.2,298749,0.0,1.0
33,2022-09-20,875.0,929.95,875.0,915.75,915.75,700877,0.0,1.0
34,2022-09-19,868.7,877.0,856.85,874.55,874.55,943379,0.0,1.0
35,2022-09-16,874.5,890.55,865.8,868.7,868.7,129071,0.0,1.0
36,2022-09-15,889.45,889.45,871.5,873.7,873.7,173621,0.0,1.0
37,2022-09-14,880.05,897.75,880.05,884.15,884.15,126980,0.0,1.0
38,2022-09-13,886.0,893.0,884.0,889.4,889.4,125032,0.0,1.0
39,2022-09-12,889.2,895.0,885.65,887.15,887.15,79681,0.0,1.0
40,2022-09-09,894.7,901.2,887.15,889.2,889.2,31391,0.0,1.0
41,2022-09-08,893.0,900.9,887.0,894.1,894.1,207485,0.0,1.0
42,2022-09-07,882.0,896.15,880.0,893.3,893.3,27691,0.0,1.0
43,2022-09-06,884.6,890.35,882.55,887.55,887.55,51672,0.0,1.0
44,2022-09-05,869.3,887.05,864.85,885.0,885.0,179167,0.0,1.0
45,2022-09-02,877.95,877.95,865.95,869.3,869.3,35346,0.0,1.0
46,2022-09-01,893.25,900.95,870.55,871.65,871.65,111781,0.0,1.0
47,2022-08-30,884.75,895.55,882.05,893.25,893.25,196218,0.0,1.0
48,2022-08-29,878.95,881.4,864.8,877.75,877.75,2526168,0.0,1.0
49,2022-08-26,885.0,891.4,878.25,879.55,879.55,84390,0.0,1.0
50,2022-08-25,896.4,896.4,875.1,877.1,877.1,66888,0.0,1.0
