,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,776.0,781.85,766.0,770.25,770.25,27696,0.0,1.0
1,2022-11-07,765.5,776.35,763.75,771.9,771.9,90216,0.0,1.0
2,2022-11-04,757.0,766.45,757.0,764.85,764.85,15397,0.0,1.0
3,2022-11-03,768.0,769.5,756.7,762.65,762.65,38066,0.0,1.0
4,2022-11-02,773.25,777.9,764.65,768.05,768.05,167709,0.0,1.0
5,2022-11-01,771.0,784.6,767.95,774.75,774.75,36209,0.0,1.0
6,2022-10-31,762.0,772.2,761.7,770.1,770.1,23704,0.0,1.0
7,2022-10-28,774.8,774.8,759.3,761.3,761.3,37692,0.0,1.0
8,2022-10-27,775.0,779.5,759.5,770.7,770.7,81946,0.0,1.0
9,2022-10-25,768.35,776.95,765.0,767.05,767.05,542378,0.0,1.0
10,2022-10-21,774.05,780.25,755.6,761.45,761.45,40811,0.0,1.0
11,2022-10-20,763.0,772.15,755.7,770.25,770.25,20358,0.0,1.0
12,2022-10-19,771.05,777.1,761.15,764.35,764.35,38645,0.0,1.0
13,2022-10-18,765.7,776.4,763.8,774.4,774.4,19441,0.0,1.0
14,2022-10-17,758.25,771.8,757.4,762.7,762.7,839241,0.0,1.0
15,2022-10-14,764.25,768.5,760.0,761.3,761.3,65601,0.0,1.0
16,2022-10-13,757.0,760.15,749.35,757.5,757.5,16710,0.0,1.0
17,2022-10-12,741.05,758.8,739.1,757.0,757.0,65619,0.0,1.0
18,2022-10-11,757.25,760.0,740.05,742.95,742.95,873655,0.0,1.0
19,2022-10-10,768.95,774.7,755.5,757.25,757.25,51884,0.0,1.0
20,2022-10-07,786.0,793.85,779.25,780.7,780.7,46044,0.0,1.0
21,2022-10-06,790.0,799.2,784.25,794.2,794.2,33548,0.0,1.0
22,2022-10-04,785.55,792.0,782.0,785.0,785.0,30764,0.0,1.0
23,2022-10-03,800.4,804.1,776.25,778.0,778.0,82275,0.0,1.0
24,2022-09-30,790.1,806.05,787.0,803.4,803.4,79578,0.0,1.0
25,2022-09-29,793.35,803.6,790.25,792.0,792.0,55939,0.0,1.0
26,2022-09-28,792.15,804.0,790.5,792.95,792.95,37315,0.0,1.0
27,2022-09-27,782.4,801.0,781.9,796.75,796.75,96835,0.0,1.0
28,2022-09-26,776.6,784.95,762.05,780.9,780.9,104642,0.0,1.0
29,2022-09-23,802.0,806.15,779.45,781.9,781.9,39411,0.0,1.0
30,2022-09-22,797.6,807.2,788.45,802.55,802.55,35813,0.0,1.0
31,2022-09-21,800.15,811.15,798.35,804.15,804.15,26746,0.0,1.0
32,2022-09-20,793.0,812.7,793.0,803.1,803.1,112360,0.0,1.0
33,2022-09-19,797.0,801.8,787.25,792.9,792.9,598831,0.0,1.0
34,2022-09-16,835.0,838.8,791.15,795.4,795.4,217071,0.0,1.0
35,2022-09-15,841.2,847.45,830.35,837.45,837.45,40725,0.0,1.0
36,2022-09-14,842.2,861.35,838.15,840.1,840.1,146082,0.0,1.0
37,2022-09-13,830.0,852.3,829.9,848.95,848.95,102254,0.0,1.0
38,2022-09-12,819.0,831.0,819.0,825.45,825.45,105916,0.0,1.0
39,2022-09-09,821.85,826.4,813.1,816.8,816.8,29798,0.0,1.0
40,2022-09-08,825.05,831.35,815.1,818.85,818.85,31374,0.0,1.0
41,2022-09-07,816.0,827.55,813.75,825.05,825.05,172124,0.0,1.0
42,2022-09-06,839.0,845.8,816.25,818.65,818.65,221092,0.0,1.0
43,2022-09-05,830.3,841.0,829.1,838.35,838.35,78604,0.0,1.0
44,2022-09-02,844.65,846.5,830.4,833.05,833.05,132579,0.0,1.0
45,2022-09-01,808.1,841.9,806.8,838.75,838.75,251652,0.0,1.0
46,2022-08-30,807.0,813.4,806.3,809.65,809.65,94198,0.0,1.0
47,2022-08-29,781.0,816.3,781.0,806.2,806.2,73571,0.0,1.0
48,2022-08-26,801.85,810.8,799.45,801.45,801.45,55297,0.0,1.0
49,2022-08-25,805.0,812.4,797.95,801.8,801.8,53922,0.0,1.0
50,2022-08-24,805.4,812.9,798.35,805.6,805.6,53178,0.0,1.0
51,2022-08-23,787.1,811.55,787.1,808.45,808.45,63991,0.0,1.0
52,2022-08-22,786.7,797.0,779.55,793.85,793.85,127074,0.0,1.0
53,2022-08-19,806.05,809.7,784.2,787.0,787.0,102899,0.0,1.0
54,2022-08-18,793.8,813.6,792.45,808.25,808.25,178881,0.0,1.0
55,2022-08-17,782.0,796.0,780.75,793.15,793.15,179264,0.0,1.0
56,2022-08-16,765.0,780.65,765.0,779.5,779.5,60827,0.0,1.0
57,2022-08-12,776.0,776.0,760.7,763.15,763.15,99234,0.0,1.0
58,2022-08-11,793.3,798.0,771.7,773.3,773.3,207005,0.0,1.0
59,2022-08-10,789.45,793.95,786.55,790.15,790.15,50051,0.0,1.0
60,2022-08-08,781.0,794.0,781.0,788.25,788.25,48163,0.0,1.0
61,2022-08-05,783.0,793.4,782.25,784.35,784.35,185623,0.0,1.0
62,2022-08-04,795.2,797.8,780.85,789.25,789.25,1741232,0.0,1.0
63,2022-08-03,805.0,815.55,801.8,813.05,813.05,47005,0.0,1.0
64,2022-08-02,812.3,825.75,807.25,809.85,809.85,60070,0.0,1.0
65,2022-08-01,813.45,813.45,799.8,810.85,810.85,781290,0.0,1.0
66,2022-07-29,806.5,814.55,803.55,811.55,811.55,69881,0.0,1.0
67,2022-07-28,798.0,809.65,798.0,806.9,806.9,66589,0.0,1.0
68,2022-07-27,791.4,803.9,787.7,801.1,801.1,42295,0.0,1.0
69,2022-07-26,806.8,808.0,788.0,790.75,790.75,50812,0.0,1.0
70,2022-07-25,803.9,813.4,800.85,808.2,808.2,39171,0.0,1.0
71,2022-07-22,819.45,823.65,801.7,803.6,803.6,44004,0.0,1.0
72,2022-07-21,798.0,820.25,793.8,818.25,818.25,156928,0.0,1.0
73,2022-07-20,790.0,801.05,787.45,795.1,795.1,133855,0.0,1.0
74,2022-07-19,793.0,793.0,784.2,787.2,787.2,30638,0.0,1.0
75,2022-07-18,798.7,798.7,787.8,793.75,793.75,800073,0.0,1.0
76,2022-07-15,766.6,792.0,764.0,790.35,790.35,154890,0.0,1.0
77,2022-07-14,762.0,778.65,759.35,766.15,766.15,62561,0.0,1.0
78,2022-07-13,756.45,767.75,756.45,762.55,762.55,46557,0.0,1.0
79,2022-07-12,762.0,762.0,752.25,756.45,756.45,16939,0.0,1.0
80,2022-07-11,760.0,769.9,758.7,765.65,765.65,35481,0.0,1.0
