,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2022-11-09,393.0,394.0,389.4,390.95,390.95,139005,0.0,1.0
1,2022-11-07,392.0,394.75,387.65,391.45,391.45,435712,0.0,1.0
2,2022-11-04,386.45,392.35,385.7,390.65,390.65,131635,0.0,1.0
3,2022-11-03,390.5,393.8,385.6,388.65,388.65,199219,0.0,1.0
4,2022-11-02,392.9,394.85,390.6,393.9,393.9,365428,0.0,1.0
5,2022-11-01,388.0,393.2,386.65,392.45,392.45,156961,0.0,1.0
6,2022-10-31,385.6,388.2,384.6,386.4,386.4,432689,0.0,1.0
7,2022-10-28,382.6,386.0,382.2,383.4,383.4,105745,0.0,1.0
8,2022-10-27,385.0,386.95,381.15,382.6,382.6,163873,0.0,1.0
9,2022-10-25,386.0,386.3,383.7,384.5,384.5,1433343,0.0,1.0
10,2022-10-24,385.0,386.55,384.0,384.75,384.75,238840,0.0,1.0
11,2022-10-21,382.0,383.8,379.55,382.6,382.6,227125,0.0,1.0
12,2022-10-20,376.35,382.5,376.0,381.45,381.45,213603,0.0,1.0
13,2022-10-19,381.8,381.8,377.0,378.0,378.0,401520,0.0,1.0
14,2022-10-18,381.45,384.4,378.4,379.3,379.3,335997,0.0,1.0
15,2022-10-17,377.3,379.15,372.4,375.05,375.05,282308,0.0,1.0
16,2022-10-14,385.3,387.0,376.3,377.3,377.3,656828,0.0,1.0
17,2022-10-13,390.0,392.25,378.1,379.1,379.1,1824883,0.0,1.0
18,2022-10-12,404.0,409.5,401.7,407.75,407.75,282900,0.0,1.0
19,2022-10-11,415.1,417.9,402.5,404.3,404.3,2084417,0.0,1.0
20,2022-10-10,399.95,413.4,399.65,411.25,411.25,223882,0.0,1.0
21,2022-10-07,409.8,411.8,406.15,408.1,408.1,364721,0.0,1.0
22,2022-10-06,408.6,412.95,407.35,410.2,410.2,541574,0.0,1.0
23,2022-10-04,398.75,406.35,398.75,405.6,405.6,173737,0.0,1.0
24,2022-10-03,394.0,398.0,390.45,394.5,394.5,434723,0.0,1.0
25,2022-09-30,391.1,396.65,387.4,394.3,394.3,440822,0.0,1.0
26,2022-09-29,400.1,401.95,391.7,393.45,393.45,155262,0.0,1.0
27,2022-09-28,397.45,400.5,395.65,398.0,398.0,140516,0.0,1.0
28,2022-09-27,397.25,401.35,392.25,398.15,398.15,229489,0.0,1.0
29,2022-09-26,392.0,399.15,384.6,394.75,394.75,1318118,0.0,1.0
30,2022-09-23,398.0,399.45,393.6,394.4,394.4,601147,0.0,1.0
31,2022-09-22,397.55,400.25,395.0,397.95,397.95,643124,0.0,1.0
32,2022-09-21,404.95,406.0,399.5,400.8,400.8,802809,0.0,1.0
33,2022-09-20,405.35,409.4,404.5,404.95,404.95,309554,0.0,1.0
34,2022-09-19,404.6,406.2,397.1,401.95,401.95,1770024,0.0,1.0
35,2022-09-16,411.1,412.3,400.15,401.85,401.85,1050308,0.0,1.0
36,2022-09-15,418.8,420.8,413.45,415.1,415.1,182003,0.0,1.0
37,2022-09-14,407.0,422.55,407.0,416.25,416.25,838418,0.0,1.0
38,2022-09-13,425.0,425.95,421.6,422.65,422.65,330238,0.0,1.0
39,2022-09-12,418.5,424.25,418.5,421.95,421.95,780470,0.0,1.0
40,2022-09-09,416.8,419.35,411.35,417.2,417.2,244374,0.0,1.0
41,2022-09-08,410.0,414.25,409.5,412.75,412.75,348489,0.0,1.0
42,2022-09-07,402.5,408.7,401.0,407.35,407.35,536530,0.0,1.0
43,2022-09-06,407.4,407.65,401.45,404.55,404.55,847138,0.0,1.0
44,2022-09-05,407.2,408.0,404.0,405.6,405.6,459331,0.0,1.0
45,2022-09-02,412.25,412.8,407.1,407.8,407.8,528458,0.0,1.0
46,2022-09-01,410.85,411.75,404.9,410.55,410.55,326174,0.0,1.0
47,2022-08-30,407.0,415.95,406.5,413.45,413.45,638385,0.0,1.0
48,2022-08-29,405.0,406.25,399.05,404.45,404.45,434842,0.0,1.0
49,2022-08-26,419.25,422.65,416.25,417.2,417.2,395834,0.0,1.0
50,2022-08-25,418.65,420.0,415.0,415.25,415.25,498615,0.0,1.0
51,2022-08-24,417.2,419.5,414.3,416.2,416.2,321655,0.0,1.0
